sampling_method,model__dataset,tunability_risk_diff
bayesian,decision_tree__1590,0.0276018057083616
bayesian,decision_tree__1510,0.0130693831377585
bayesian,decision_tree__1461,0.0
bayesian,decision_tree__24,0.0204227231915357
bayesian,decision_tree__40945,0.0009135802469134
random,decision_tree__1590,0.0291213221336444
random,decision_tree__1510,0.0069509758811264
random,decision_tree__1461,0.0
random,decision_tree__24,0.0434492068234536
random,decision_tree__40945,0.0041358024691356
grid,decision_tree__1590,0.0513813474962964
grid,decision_tree__1510,0.018636940072823
grid,decision_tree__1461,0.0
grid,decision_tree__24,0.0018574120573925
grid,decision_tree__40945,0.014862012115635
bayesian,random_forest__1590,0.010105078344456
bayesian,random_forest__1510,0.0019122920121937
bayesian,random_forest__1461,0.0164380834274543
bayesian,random_forest__24,0.0334472563540764
bayesian,random_forest__40945,0.0066839199447896
random,random_forest__1590,0.0039026555796874
random,random_forest__1510,0.0
random,random_forest__1461,0.0039215756663832
random,random_forest__24,0.0156324367716843
random,random_forest__40945,0.0066113028142013
grid,random_forest__1590,0.0220225198975146
grid,random_forest__1510,0.0041634171956805
grid,random_forest__1461,0.0242612207658509
grid,random_forest__24,0.0343891613129618
grid,random_forest__40945,0.0082676941952305
bayesian,knn__1590,0.0
bayesian,knn__1510,0.0012110453418184
bayesian,knn__1461,0.0
bayesian,knn__24,0.0
bayesian,knn__40945,0.0
random,knn__1590,0.0
random,knn__1510,0.0018389947783168
random,knn__1461,0.0
random,knn__24,0.0
random,knn__40945,0.0
grid,knn__1590,0.0
grid,knn__1510,0.0018762662105276
grid,knn__1461,0.0
grid,knn__24,0.0
grid,knn__40945,0.0
