model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
decision_tree,bayesian,1590,50,0.9013708733918756,0.0986291266081244,0.9013708733918756,0.0986291266081244,0.0,32
decision_tree,bayesian,1510,50,0.9514113928399641,0.04858860716003588,0.9595602281316568,0.040439771868343244,0.008148835291692635,32
decision_tree,bayesian,1461,50,0.8920827424422744,0.10791725755772563,0.8969711924244474,0.10302880757555255,0.004888449982173082,32
decision_tree,bayesian,24,50,0.9998598767194578,0.0001401232805422481,0.9998659505775725,0.00013404942242745133,6.073858114796771e-06,32
decision_tree,bayesian,40945,50,0.9835061728395061,0.016493827160493857,0.9932518518518518,0.00674814814814817,0.009745679012345687,32
decision_tree,random,1590,50,0.9003664215117124,0.09963357848828758,0.9003664215117124,0.09963357848828758,0.0,32
decision_tree,random,1510,50,0.9475706039991755,0.052429396000824524,0.9527307084449943,0.0472692915550057,0.005160104445818825,32
decision_tree,random,1461,50,0.8924684130683078,0.10753158693169218,0.8971948458792213,0.10280515412077873,0.00472643281091345,32
decision_tree,random,24,50,0.9990651444515783,0.0009348555484216536,0.9998920180485703,0.00010798195142969202,0.0008268735969919616,32
decision_tree,random,40945,50,0.9864919753086421,0.013508024691357923,0.9932518518518518,0.00674814814814817,0.006759876543209753,32
decision_tree,grid,1590,50,0.8940480490595386,0.10595195094046139,0.8976021296142891,0.10239787038571091,0.003554080554750483,32
decision_tree,grid,1510,50,0.9509152752009896,0.04908472479901038,0.9534587370301655,0.04654126296983452,0.0025434618291758637,32
decision_tree,grid,1461,50,0.8862987933144062,0.1137012066855938,0.8886133969409691,0.11138660305903092,0.0023146036265628833,32
decision_tree,grid,24,50,0.9994430740864233,0.0005569259135767002,0.9998781004339005,0.000121899566099537,0.0004350263474771632,32
decision_tree,grid,40945,50,0.9901623456790123,0.00983765432098771,0.9947827160493828,0.0052172839506171576,0.004620370370370552,32
random_forest,bayesian,1590,50,0.9140991045922965,0.08590089540770351,0.9149186454667717,0.08508135453322829,0.000819540874475222,32
random_forest,bayesian,1510,50,0.9829038686181543,0.017096131381845736,0.9829038686181543,0.017096131381845736,0.0,32
random_forest,bayesian,1461,50,0.9204813084871839,0.0795186915128161,0.9229095329298609,0.07709046707013911,0.002428224442676985,32
random_forest,bayesian,24,50,1.0,0.0,1.0,0.0,0.0,32
random_forest,bayesian,40945,50,0.9923901234567902,0.00760987654320977,0.9951037037037038,0.0048962962962961765,0.002713580246913594,32
random_forest,random,1590,50,0.9080169396463139,0.09198306035368609,0.9088522026545833,0.09114779734541667,0.0008352630082694157,32
random_forest,random,1510,50,0.9769923727066583,0.023007627293341715,0.9793692022263452,0.02063079777365484,0.002376829519686874,32
random_forest,random,1461,50,0.9086729962491031,0.09132700375089686,0.9095733113343331,0.09042668866566694,0.0009003150852299191,32
random_forest,random,24,50,1.0,0.0,1.0,0.0,0.0,32
random_forest,random,40945,50,0.9916524691358024,0.008347530864197594,0.9951037037037038,0.0048962962962961765,0.003451234567901418,32
random_forest,grid,1590,50,0.9155502877670717,0.0844497122329283,0.9155502877670717,0.0844497122329283,0.0,32
random_forest,grid,1510,50,0.9828231292517007,0.017176870748299322,0.9828231292517007,0.017176870748299322,0.0,32
random_forest,grid,1461,50,0.923200941816759,0.07679905818324095,0.923200941816759,0.07679905818324095,0.0,32
random_forest,grid,24,50,1.0,0.0,1.0,0.0,0.0,32
random_forest,grid,40945,50,0.991920987654321,0.008079012345678982,0.9951530864197531,0.004846913580246914,0.0032320987654320676,32
knn,bayesian,1590,50,0.8823717785113969,0.11762822148860308,0.8825913910873151,0.1174086089126849,0.00021961257591818217,32
knn,bayesian,1510,50,0.9895372088229232,0.010462791177076824,0.9898017590874734,0.010198240912526635,0.0002645502645501896,32
knn,bayesian,1461,50,0.8663308269139545,0.13366917308604553,0.8709186761447307,0.12908132385526927,0.004587849230776264,32
knn,bayesian,24,50,0.9997522835390777,0.00024771646092225375,0.9999738804286707,2.61195713292528e-05,0.00022159688959300095,32
knn,bayesian,40945,50,0.9398154320987654,0.06018456790123461,0.9493858024691356,0.05061419753086438,0.00957037037037023,32
knn,random,1590,50,0.8823717785113969,0.11762822148860308,0.8825913910873151,0.1174086089126849,0.00021961257591818217,32
knn,random,1510,50,0.9895372088229232,0.010462791177076824,0.9895372088229232,0.010462791177076824,0.0,32
knn,random,1461,50,0.8663308269139545,0.13366917308604553,0.8709186761447307,0.12908132385526927,0.004587849230776264,32
knn,random,24,50,0.9997522835390777,0.00024771646092225375,0.9999750952002937,2.4904799706293446e-05,0.0002228116612159603,32
knn,random,40945,50,0.9398154320987654,0.06018456790123461,0.9493858024691356,0.05061419753086438,0.00957037037037023,32
knn,grid,1590,50,0.8823717785113969,0.11762822148860308,0.8825913910873151,0.1174086089126849,0.00021961257591818217,21
knn,grid,1510,50,0.9895372088229232,0.010462791177076824,0.9898017590874734,0.010198240912526635,0.0002645502645501896,21
knn,grid,1461,50,0.8663308269139545,0.13366917308604553,0.8709186761447307,0.12908132385526927,0.004587849230776264,21
knn,grid,24,50,0.9997522835390777,0.00024771646092225375,0.9999750952002937,2.4904799706293446e-05,0.0002228116612159603,21
knn,grid,40945,50,0.9398154320987654,0.06018456790123461,0.9493858024691356,0.05061419753086438,0.00957037037037023,21
