dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,RandomForest,RandomSearch,1,0.861026936026936,8,21,862,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,2,0.8743411122721467,16,12,73,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,3,0.8594682456751422,30,22,616,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,4,0.8634360849878091,27,20,216,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,5,0.8748084291187739,12,12,89,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,6,0.8757372576338094,22,5,873,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,7,0.8750986880297225,25,4,663,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,8,0.8725095785440613,22,3,345,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,9,0.8508620689655173,13,31,807,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,10,0.8502467200743062,3,29,278,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,11,0.8519070010449321,2,13,315,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,12,0.8524004411935446,23,30,749,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,13,0.8634505979333565,26,18,476,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,14,0.874204690584001,28,11,477,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,15,0.8647277371415303,29,17,784,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,16,0.8520172994310925,31,31,688,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,17,0.8630790665273425,31,20,877,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,18,0.8610240334378265,24,21,833,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,19,0.8754760246139557,26,4,486,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,20,0.8539257517705794,20,8,22,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,21,0.8706925577615232,10,8,275,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,22,0.8558719377684895,5,26,317,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,23,0.8638366422849182,15,19,778,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,24,0.8592302333681644,27,22,899,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,25,0.8573174271450134,21,29,368,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,26,0.8722425403459886,29,8,429,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,27,0.8740711714849645,30,9,944,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,28,0.8683646812957158,4,15,82,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,29,0.8626901195866713,5,19,873,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,30,0.8746284685939858,5,3,391,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,31,0.8734384070590968,23,11,773,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,32,0.8527951933124347,23,30,704,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,33,0.8570300708231743,19,27,557,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,34,0.8599994194821781,3,11,959,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,35,0.8665273423894113,5,15,864,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,36,0.866901776384535,17,16,457,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,37,0.8566208057587368,15,24,253,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,38,0.8528967839312668,26,31,297,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,39,0.8644723092998955,22,17,750,,,,,,,
qsar-biodeg,0.25,RandomForest,RandomSearch,40,0.872053872053872,19,16,54,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,1,0.8552333681644027,14,24,933,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,2,0.8540549169859515,27,28,305,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,3,0.8556368280506211,15,30,107,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,4,0.8735254847323812,26,7,599,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,5,0.8680424939045628,26,15,528,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,6,0.8540607221641704,24,30,165,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,7,0.8584610472541507,21,25,360,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,8,0.8548473238128411,18,30,497,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,9,0.8574161151747359,31,23,872,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,10,0.846235341924997,2,27,742,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,11,0.7785730871937768,32,2,2,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,12,0.8739260420294903,25,9,698,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,13,0.874074074074074,32,2,1000,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,14,0.876772030651341,32,2,779,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,15,0.8515035411587135,2,2,712,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,16,0.8517705793567862,2,2,1000,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,17,0.8737954255195635,32,7,691,,,,,,,
qsar-biodeg,0.25,RandomForest,BayesSearch,18,0.8463543480784861,2,32,256,,,,,,,
