dataset,model,search_method,iteration,mean_test_score,std_test_score,rank_test_score,params,model__learning_rate,model__n_estimators,model__num_leaves
wdbc,LightGBM,GridSearch,1,0.9862754031103668,0.00988080004045846,205,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'model__num_leaves': 12}",0.01,100.0,12.0
wdbc,LightGBM,GridSearch,2,0.9862754031103668,0.009880800040458439,205,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'model__num_leaves': 15}",0.01,100.0,15.0
wdbc,LightGBM,GridSearch,3,0.9862754031103668,0.009880800040458439,205,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'model__num_leaves': 21}",0.01,100.0,21.0
wdbc,LightGBM,GridSearch,4,0.9862754031103668,0.009880800040458439,205,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'model__num_leaves': 31}",0.01,100.0,31.0
wdbc,LightGBM,GridSearch,5,0.9862754031103668,0.009880800040458439,205,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'model__num_leaves': 41}",0.01,100.0,41.0
wdbc,LightGBM,GridSearch,6,0.9862754031103668,0.009880800040458439,205,"{'model__learning_rate': 0.01, 'model__n_estimators': 100, 'model__num_leaves': 51}",0.01,100.0,51.0
wdbc,LightGBM,GridSearch,7,0.9901290695999277,0.007386749410357444,199,"{'model__learning_rate': 0.01, 'model__n_estimators': 150, 'model__num_leaves': 12}",0.01,150.0,12.0
wdbc,LightGBM,GridSearch,8,0.9900178348946997,0.007358656247838431,200,"{'model__learning_rate': 0.01, 'model__n_estimators': 150, 'model__num_leaves': 15}",0.01,150.0,15.0
wdbc,LightGBM,GridSearch,9,0.9900178348946997,0.007358656247838431,200,"{'model__learning_rate': 0.01, 'model__n_estimators': 150, 'model__num_leaves': 21}",0.01,150.0,21.0
wdbc,LightGBM,GridSearch,10,0.9900178348946997,0.007358656247838431,200,"{'model__learning_rate': 0.01, 'model__n_estimators': 150, 'model__num_leaves': 31}",0.01,150.0,31.0
wdbc,LightGBM,GridSearch,11,0.9900178348946997,0.007358656247838431,200,"{'model__learning_rate': 0.01, 'model__n_estimators': 150, 'model__num_leaves': 41}",0.01,150.0,41.0
wdbc,LightGBM,GridSearch,12,0.9900178348946997,0.007358656247838431,200,"{'model__learning_rate': 0.01, 'model__n_estimators': 150, 'model__num_leaves': 51}",0.01,150.0,51.0
wdbc,LightGBM,GridSearch,13,0.991348418242557,0.0074584487532883565,198,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 12}",0.01,200.0,12.0
wdbc,LightGBM,GridSearch,14,0.9914596529477852,0.007491187060769981,193,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 15}",0.01,200.0,15.0
wdbc,LightGBM,GridSearch,15,0.9914596529477852,0.007491187060769981,193,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 21}",0.01,200.0,21.0
wdbc,LightGBM,GridSearch,16,0.9914596529477852,0.007491187060769981,193,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 31}",0.01,200.0,31.0
wdbc,LightGBM,GridSearch,17,0.9914596529477852,0.007491187060769981,193,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 41}",0.01,200.0,41.0
wdbc,LightGBM,GridSearch,18,0.9914596529477852,0.007491187060769981,193,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 51}",0.01,200.0,51.0
wdbc,LightGBM,GridSearch,19,0.9919936189133584,0.007891252914747711,187,"{'model__learning_rate': 0.01, 'model__n_estimators': 250, 'model__num_leaves': 12}",0.01,250.0,12.0
wdbc,LightGBM,GridSearch,20,0.991671049402802,0.007838576442056319,188,"{'model__learning_rate': 0.01, 'model__n_estimators': 250, 'model__num_leaves': 15}",0.01,250.0,15.0
