dataset,model,search_method,iteration,mean_test_score,std_test_score,rank_test_score,params,model__max_features,model__max_samples,model__n_estimators
wdbc,RandomForest,GridSearch,1,0.9918118708415934,0.007430637347027644,29,"{'model__max_features': 0.25, 'model__max_samples': 0.5, 'model__n_estimators': 100}",0.25,0.5,100.0
wdbc,RandomForest,GridSearch,2,0.9923724947302206,0.006561220322409467,23,"{'model__max_features': 0.25, 'model__max_samples': 0.5, 'model__n_estimators': 150}",0.25,0.5,150.0
wdbc,RandomForest,GridSearch,3,0.9925195167522428,0.0068391212166550005,17,"{'model__max_features': 0.25, 'model__max_samples': 0.5, 'model__n_estimators': 200}",0.25,0.5,200.0
wdbc,RandomForest,GridSearch,4,0.9923805012072204,0.007444778435147441,21,"{'model__max_features': 0.25, 'model__max_samples': 0.5, 'model__n_estimators': 250}",0.25,0.5,250.0
wdbc,RandomForest,GridSearch,5,0.9923805012072204,0.007444778435147421,21,"{'model__max_features': 0.25, 'model__max_samples': 0.5, 'model__n_estimators': 300}",0.25,0.5,300.0
wdbc,RandomForest,GridSearch,6,0.9910294605195393,0.01085141901522118,45,"{'model__max_features': 0.25, 'model__max_samples': 0.8, 'model__n_estimators': 100}",0.25,0.8,100.0
wdbc,RandomForest,GridSearch,7,0.9912663231469054,0.010136119980994425,39,"{'model__max_features': 0.25, 'model__max_samples': 0.8, 'model__n_estimators': 150}",0.25,0.8,150.0
wdbc,RandomForest,GridSearch,8,0.9927635107462365,0.0073667439665545415,14,"{'model__max_features': 0.25, 'model__max_samples': 0.8, 'model__n_estimators': 200}",0.25,0.8,200.0
wdbc,RandomForest,GridSearch,9,0.9924819792147052,0.007418415965169246,18,"{'model__max_features': 0.25, 'model__max_samples': 0.8, 'model__n_estimators': 250}",0.25,0.8,250.0
wdbc,RandomForest,GridSearch,10,0.9924819792147052,0.007081534493861753,18,"{'model__max_features': 0.25, 'model__max_samples': 0.8, 'model__n_estimators': 300}",0.25,0.8,300.0
wdbc,RandomForest,GridSearch,11,0.9929939617855112,0.007220326515777705,12,"{'model__max_features': 0.25, 'model__max_samples': 1.0, 'model__n_estimators': 100}",0.25,1.0,100.0
wdbc,RandomForest,GridSearch,12,0.9927480562622755,0.007515515774642594,15,"{'model__max_features': 0.25, 'model__max_samples': 1.0, 'model__n_estimators': 150}",0.25,1.0,150.0
wdbc,RandomForest,GridSearch,13,0.9927871578638772,0.00820231640657089,13,"{'model__max_features': 0.25, 'model__max_samples': 1.0, 'model__n_estimators': 200}",0.25,1.0,200.0
wdbc,RandomForest,GridSearch,14,0.9923943916271176,0.008219927450281363,20,"{'model__max_features': 0.25, 'model__max_samples': 1.0, 'model__n_estimators': 250}",0.25,1.0,250.0
