dataset,model,search_method,iteration,mean_test_score,std_test_score,rank_test_score,params,model__booster,model__learning_rate,model__n_estimators
wdbc,XGBoost,GridSearch,1,0.9830975355958589,0.011968313579527214,69,"{'model__booster': 'gbtree', 'model__learning_rate': 0.01, 'model__n_estimators': 100}",gbtree,0.01,100
wdbc,XGBoost,GridSearch,2,0.987246425926843,0.010576606684233122,67,"{'model__booster': 'gbtree', 'model__learning_rate': 0.01, 'model__n_estimators': 150}",gbtree,0.01,150
wdbc,XGBoost,GridSearch,3,0.9878303802927773,0.010903458085960292,65,"{'model__booster': 'gbtree', 'model__learning_rate': 0.01, 'model__n_estimators': 200}",gbtree,0.01,200
wdbc,XGBoost,GridSearch,4,0.9914143956902659,0.00656588573020955,61,"{'model__booster': 'gbtree', 'model__learning_rate': 0.01, 'model__n_estimators': 250}",gbtree,0.01,250
wdbc,XGBoost,GridSearch,5,0.992044216687734,0.00621074769348984,33,"{'model__booster': 'gbtree', 'model__learning_rate': 0.01, 'model__n_estimators': 300}",gbtree,0.01,300
wdbc,XGBoost,GridSearch,6,0.9929014590475447,0.006483227489904817,11,"{'model__booster': 'gbtree', 'model__learning_rate': 0.05, 'model__n_estimators': 100}",gbtree,0.05,100
wdbc,XGBoost,GridSearch,7,0.9928013589474446,0.006576959578454158,13,"{'model__booster': 'gbtree', 'model__learning_rate': 0.05, 'model__n_estimators': 150}",gbtree,0.05,150
wdbc,XGBoost,GridSearch,8,0.9924409412356805,0.007107125075094534,19,"{'model__booster': 'gbtree', 'model__learning_rate': 0.05, 'model__n_estimators': 200}",gbtree,0.05,200
wdbc,XGBoost,GridSearch,9,0.9916151154098547,0.008559745650332322,55,"{'model__booster': 'gbtree', 'model__learning_rate': 0.05, 'model__n_estimators': 250}",gbtree,0.05,250
wdbc,XGBoost,GridSearch,10,0.9914680933878326,0.009080198729562752,59,"{'model__booster': 'gbtree', 'model__learning_rate': 0.05, 'model__n_estimators': 300}",gbtree,0.05,300
wdbc,XGBoost,GridSearch,11,0.9923297065304524,0.007035461470798021,25,"{'model__booster': 'gbtree', 'model__learning_rate': 0.1, 'model__n_estimators': 100}",gbtree,0.1,100
wdbc,XGBoost,GridSearch,12,0.9916863793797723,0.008683946570365987,53,"{'model__booster': 'gbtree', 'model__learning_rate': 0.1, 'model__n_estimators': 150}",gbtree,0.1,150
wdbc,XGBoost,GridSearch,13,0.9918021201205132,0.008479188293305375,51,"{'model__booster': 'gbtree', 'model__learning_rate': 0.1, 'model__n_estimators': 200}",gbtree,0.1,200
wdbc,XGBoost,GridSearch,14,0.9919178608612537,0.008275838781792517,47,"{'model__booster': 'gbtree', 'model__learning_rate': 0.1, 'model__n_estimators': 250}",gbtree,0.1,250
wdbc,XGBoost,GridSearch,15,0.9920336016019945,0.008074004478798127,35,"{'model__booster': 'gbtree', 'model__learning_rate': 0.1, 'model__n_estimators': 300}",gbtree,0.1,300
wdbc,XGBoost,GridSearch,16,0.9914993746691139,0.008760151333998753,57,"{'model__booster': 'gbtree', 'model__learning_rate': 0.15, 'model__n_estimators': 100}",gbtree,0.15,100
wdbc,XGBoost,GridSearch,17,0.9918309562506955,0.008306368864830525,49,"{'model__booster': 'gbtree', 'model__learning_rate': 0.15, 'model__n_estimators': 150}",gbtree,0.15,150
wdbc,XGBoost,GridSearch,18,0.9923940193137586,0.007456354988726627,21,"{'model__booster': 'gbtree', 'model__learning_rate': 0.15, 'model__n_estimators': 200}",gbtree,0.15,200
wdbc,XGBoost,GridSearch,19,0.99262550079524,0.007067935231075224,15,"{'model__booster': 'gbtree', 'model__learning_rate': 0.15, 'model__n_estimators': 250}",gbtree,0.15,250
wdbc,XGBoost,GridSearch,20,0.99262550079524,0.007067935231075224,15,"{'model__booster': 'gbtree', 'model__learning_rate': 0.15, 'model__n_estimators': 300}",gbtree,0.15,300
wdbc,XGBoost,GridSearch,21,0.9913322059709385,0.00975114551158289,63,"{'model__booster': 'gbtree', 'model__learning_rate': 0.2, 'model__n_estimators': 100}",gbtree,0.2,100
wdbc,XGBoost,GridSearch,22,0.9921111098748424,0.008627628151622683,31,"{'model__booster': 'gbtree', 'model__learning_rate': 0.2, 'model__n_estimators': 150}",gbtree,0.2,150
wdbc,XGBoost,GridSearch,23,0.992342591356324,0.008204749389193066,23,"{'model__booster': 'gbtree', 'model__learning_rate': 0.2, 'model__n_estimators': 200}",gbtree,0.2,200
wdbc,XGBoost,GridSearch,24,0.9922445521406378,0.008126939176081639,27,"{'model__booster': 'gbtree', 'model__learning_rate': 0.2, 'model__n_estimators': 250}",gbtree,0.2,250
wdbc,XGBoost,GridSearch,25,0.9922445521406378,0.008126939176081639,27,"{'model__booster': 'gbtree', 'model__learning_rate': 0.2, 'model__n_estimators': 300}",gbtree,0.2,300
wdbc,XGBoost,GridSearch,26,0.9920311564508957,0.008100206920822656,37,"{'model__booster': 'gbtree', 'model__learning_rate': 0.3, 'model__n_estimators': 100}",gbtree,0.3,100
wdbc,XGBoost,GridSearch,27,0.9920311564508957,0.008100206920822656,37,"{'model__booster': 'gbtree', 'model__learning_rate': 0.3, 'model__n_estimators': 150}",gbtree,0.3,150
wdbc,XGBoost,GridSearch,28,0.9920311564508957,0.008100206920822656,37,"{'model__booster': 'gbtree', 'model__learning_rate': 0.3, 'model__n_estimators': 200}",gbtree,0.3,200
wdbc,XGBoost,GridSearch,29,0.9920311564508957,0.008100206920822656,37,"{'model__booster': 'gbtree', 'model__learning_rate': 0.3, 'model__n_estimators': 250}",gbtree,0.3,250
wdbc,XGBoost,GridSearch,30,0.9920311564508957,0.008100206920822656,37,"{'model__booster': 'gbtree', 'model__learning_rate': 0.3, 'model__n_estimators': 300}",gbtree,0.3,300
wdbc,XGBoost,GridSearch,31,0.9932806574814034,0.006480873215600766,1,"{'model__booster': 'gbtree', 'model__learning_rate': 0.4, 'model__n_estimators': 100}",gbtree,0.4,100
wdbc,XGBoost,GridSearch,32,0.9932806574814034,0.006480873215600766,1,"{'model__booster': 'gbtree', 'model__learning_rate': 0.4, 'model__n_estimators': 150}",gbtree,0.4,150
wdbc,XGBoost,GridSearch,33,0.9932806574814034,0.006480873215600766,1,"{'model__booster': 'gbtree', 'model__learning_rate': 0.4, 'model__n_estimators': 200}",gbtree,0.4,200
wdbc,XGBoost,GridSearch,34,0.9932806574814034,0.006480873215600766,1,"{'model__booster': 'gbtree', 'model__learning_rate': 0.4, 'model__n_estimators': 250}",gbtree,0.4,250
wdbc,XGBoost,GridSearch,35,0.9932806574814034,0.006480873215600766,1,"{'model__booster': 'gbtree', 'model__learning_rate': 0.4, 'model__n_estimators': 300}",gbtree,0.4,300
wdbc,XGBoost,GridSearch,36,0.9830975355958589,0.011968313579527214,69,"{'model__booster': 'dart', 'model__learning_rate': 0.01, 'model__n_estimators': 100}",dart,0.01,100
wdbc,XGBoost,GridSearch,37,0.987246425926843,0.010576606684233122,67,"{'model__booster': 'dart', 'model__learning_rate': 0.01, 'model__n_estimators': 150}",dart,0.01,150
wdbc,XGBoost,GridSearch,38,0.9878303802927773,0.010903458085960292,65,"{'model__booster': 'dart', 'model__learning_rate': 0.01, 'model__n_estimators': 200}",dart,0.01,200
wdbc,XGBoost,GridSearch,39,0.9914143956902659,0.00656588573020955,61,"{'model__booster': 'dart', 'model__learning_rate': 0.01, 'model__n_estimators': 250}",dart,0.01,250
wdbc,XGBoost,GridSearch,40,0.992044216687734,0.00621074769348984,33,"{'model__booster': 'dart', 'model__learning_rate': 0.01, 'model__n_estimators': 300}",dart,0.01,300
wdbc,XGBoost,GridSearch,41,0.9929014590475447,0.006483227489904817,11,"{'model__booster': 'dart', 'model__learning_rate': 0.05, 'model__n_estimators': 100}",dart,0.05,100
wdbc,XGBoost,GridSearch,42,0.9928013589474446,0.006576959578454158,13,"{'model__booster': 'dart', 'model__learning_rate': 0.05, 'model__n_estimators': 150}",dart,0.05,150
wdbc,XGBoost,GridSearch,43,0.9924409412356805,0.007107125075094534,19,"{'model__booster': 'dart', 'model__learning_rate': 0.05, 'model__n_estimators': 200}",dart,0.05,200
wdbc,XGBoost,GridSearch,44,0.9916151154098547,0.008559745650332322,55,"{'model__booster': 'dart', 'model__learning_rate': 0.05, 'model__n_estimators': 250}",dart,0.05,250
wdbc,XGBoost,GridSearch,45,0.9914680933878326,0.009080198729562752,59,"{'model__booster': 'dart', 'model__learning_rate': 0.05, 'model__n_estimators': 300}",dart,0.05,300
wdbc,XGBoost,GridSearch,46,0.9923297065304524,0.007035461470798021,25,"{'model__booster': 'dart', 'model__learning_rate': 0.1, 'model__n_estimators': 100}",dart,0.1,100
wdbc,XGBoost,GridSearch,47,0.9916863793797723,0.008683946570365987,53,"{'model__booster': 'dart', 'model__learning_rate': 0.1, 'model__n_estimators': 150}",dart,0.1,150
wdbc,XGBoost,GridSearch,48,0.9918021201205132,0.008479188293305375,51,"{'model__booster': 'dart', 'model__learning_rate': 0.1, 'model__n_estimators': 200}",dart,0.1,200
wdbc,XGBoost,GridSearch,49,0.9919178608612537,0.008275838781792517,47,"{'model__booster': 'dart', 'model__learning_rate': 0.1, 'model__n_estimators': 250}",dart,0.1,250
wdbc,XGBoost,GridSearch,50,0.9920336016019945,0.008074004478798127,35,"{'model__booster': 'dart', 'model__learning_rate': 0.1, 'model__n_estimators': 300}",dart,0.1,300
wdbc,XGBoost,GridSearch,51,0.9914993746691139,0.008760151333998753,57,"{'model__booster': 'dart', 'model__learning_rate': 0.15, 'model__n_estimators': 100}",dart,0.15,100
wdbc,XGBoost,GridSearch,52,0.9918309562506955,0.008306368864830525,49,"{'model__booster': 'dart', 'model__learning_rate': 0.15, 'model__n_estimators': 150}",dart,0.15,150
wdbc,XGBoost,GridSearch,53,0.9923940193137586,0.007456354988726627,21,"{'model__booster': 'dart', 'model__learning_rate': 0.15, 'model__n_estimators': 200}",dart,0.15,200
wdbc,XGBoost,GridSearch,54,0.99262550079524,0.007067935231075224,15,"{'model__booster': 'dart', 'model__learning_rate': 0.15, 'model__n_estimators': 250}",dart,0.15,250
wdbc,XGBoost,GridSearch,55,0.99262550079524,0.007067935231075224,15,"{'model__booster': 'dart', 'model__learning_rate': 0.15, 'model__n_estimators': 300}",dart,0.15,300
wdbc,XGBoost,GridSearch,56,0.9913322059709385,0.00975114551158289,63,"{'model__booster': 'dart', 'model__learning_rate': 0.2, 'model__n_estimators': 100}",dart,0.2,100
