Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample
personality,1,0.87953216374269,0.749816047538945,0.22648248189516848,10,72,3822,40,0.6624074561769746
Heart,1,0.8675496688741722,0.749816047538945,0.22648248189516848,10,72,3822,40,0.6624074561769746
Loan,1,0.9773584905660377,0.749816047538945,0.22648248189516848,10,72,3822,40,0.6624074561769746
Machine,1,0.8620689655172413,0.749816047538945,0.22648248189516848,10,72,3822,40,0.6624074561769746
personality,2,0.9175377468060395,0.662397808134481,0.0013927723945289009,12,24,180,72,0.9879639408647978
Heart,2,0.875,0.662397808134481,0.0013927723945289009,12,24,180,72,0.9879639408647978
Loan,2,0.861995753715499,0.662397808134481,0.0013927723945289009,12,24,180,72,0.9879639408647978
Machine,2,0.7668393782383419,0.662397808134481,0.0013927723945289009,12,24,180,72,0.9879639408647978
personality,3,0.9177288528389339,0.9329770563201687,0.0033572967053517922,11,21,1234,77,0.8099025726528951
Heart,3,0.8881578947368421,0.9329770563201687,0.0033572967053517922,11,21,1234,77,0.8099025726528951
Loan,3,0.9695817490494296,0.9329770563201687,0.0033572967053517922,11,21,1234,77,0.8099025726528951
Machine,3,0.9113924050632911,0.9329770563201687,0.0033572967053517922,11,21,1234,77,0.8099025726528951
personality,4,0.9187935034802784,0.7727780074568463,0.005265139631677754,10,42,2097,34,0.7824279936868144
Heart,4,0.8910891089108911,0.7727780074568463,0.005265139631677754,10,42,2097,34,0.7824279936868144
Loan,4,0.9753320683111955,0.7727780074568463,0.005265139631677754,10,42,2097,34,0.7824279936868144
Machine,4,0.9067796610169492,0.7727780074568463,0.005265139631677754,10,42,2097,34,0.7824279936868144
personality,5,0.9187935034802784,0.9140703845572055,0.003123317753376431,14,64,1578,70,0.8721230154351118
Heart,5,0.9196141479099679,0.9140703845572055,0.003123317753376431,14,64,1578,70,0.8721230154351118
Loan,5,0.9752380952380952,0.9140703845572055,0.003123317753376431,14,64,1578,70,0.8721230154351118
Machine,5,0.9029535864978903,0.9140703845572055,0.003123317753376431,14,64,1578,70,0.8721230154351118
personality,6,0.9187935034802784,0.7801997007878172,0.0010785962778329494,8,60,2111,28,0.6063865008880857
Heart,6,0.9113924050632911,0.7801997007878172,0.0010785962778329494,8,60,2111,28,0.6063865008880857
Loan,6,0.9483747609942639,0.7801997007878172,0.0010785962778329494,8,60,2111,28,0.6063865008880857
Machine,6,0.9016393442622951,0.7801997007878172,0.0010785962778329494,8,60,2111,28,0.6063865008880857
personality,7,0.9177288528389339,0.6923575302488596,0.00395411508014243,11,71,2606,27,0.6137554084460873
Heart,7,0.9019607843137255,0.6923575302488596,0.00395411508014243,11,71,2606,27,0.6137554084460873
Loan,7,0.9773584905660377,0.6923575302488596,0.00395411508014243,11,71,2606,27,0.6137554084460873
Machine,7,0.8945147679324894,0.6923575302488596,0.00395411508014243,11,71,2606,27,0.6137554084460873
personality,8,0.897196261682243,0.9637281608315128,0.004375517173207359,11,2,1071,73,0.8186841117373118
Heart,8,0.8758169934640523,0.9637281608315128,0.004375517173207359,11,2,1071,73,0.8186841117373118
Loan,8,0.9639468690702088,0.9637281608315128,0.004375517173207359,11,2,1071,73,0.8186841117373118
Machine,8,0.8916666666666667,0.9637281608315128,0.004375517173207359,11,2,1071,73,0.8186841117373118
personality,9,0.892271662763466,0.6739417822102108,0.25221951700214285,9,44,211,33,0.8909087983425683
Heart,9,0.8881578947368421,0.6739417822102108,0.25221951700214285,9,44,211,33,0.8909087983425683
Loan,9,0.9809885931558935,0.6739417822102108,0.25221951700214285,9,44,211,33,0.8909087983425683
Machine,9,0.8851063829787233,0.6739417822102108,0.25221951700214285,9,44,211,33,0.8909087983425683
personality,10,0.9177288528389339,0.7306163075223342,0.02588563920257926,11,62,387,130,0.9314950036607718
Heart,10,0.9013157894736842,0.7306163075223342,0.02588563920257926,11,62,387,130,0.9314950036607718
Loan,10,0.9772727272727273,0.7306163075223342,0.02588563920257926,11,62,387,130,0.9314950036607718
Machine,10,0.9029535864978903,0.7306163075223342,0.02588563920257926,11,62,387,130,0.9314950036607718
personality,11,0.9212962962962963,0.7427013306774357,0.0049648810171066555,11,41,2112,64,0.6298202574719083
Heart,11,0.9013157894736842,0.7427013306774357,0.0049648810171066555,11,41,2112,64,0.6298202574719083
Loan,11,0.9753320683111955,0.7427013306774357,0.0049648810171066555,11,41,2112,64,0.6298202574719083
Machine,11,0.9037656903765691,0.7427013306774357,0.0049648810171066555,11,41,2112,64,0.6298202574719083
personality,12,0.8888888888888888,0.9947547746402069,0.08183591298101361,11,8,1545,82,0.9261845713819337
Heart,12,0.8970099667774086,0.9947547746402069,0.08183591298101361,11,8,1545,82,0.9261845713819337
Loan,12,0.9674952198852772,0.9947547746402069,0.08183591298101361,11,8,1545,82,0.9261845713819337
Machine,12,0.8851063829787233,0.9947547746402069,0.08183591298101361,11,8,1545,82,0.9261845713819337
personality,13,0.8873239436619719,0.8827429375390468,0.06394979414183315,8,5,3611,60,0.9659838702175123
Heart,13,0.8844884488448845,0.8827429375390468,0.06394979414183315,8,5,3611,60,0.9659838702175123
Loan,13,0.9716446124763705,0.8827429375390468,0.06394979414183315,8,5,3611,60,0.9659838702175123
Machine,13,0.8898305084745762,0.8827429375390468,0.06394979414183315,8,5,3611,60,0.9659838702175123
personality,14,0.892018779342723,0.9400154311159197,0.01298206615333296,8,48,4648,81,0.7300733288106989
Heart,14,0.875,0.9400154311159197,0.01298206615333296,8,48,4648,81,0.7300733288106989
Loan,14,0.97131931166348,0.9400154311159197,0.01298206615333296,8,48,4648,81,0.7300733288106989
Machine,14,0.8755364806866953,0.9400154311159197,0.01298206615333296,8,48,4648,81,0.7300733288106989
personality,15,0.881316098707403,0.8918424713352255,0.037958335792652884,10,35,2740,20,0.8886918084659492
Heart,15,0.8874172185430463,0.8918424713352255,0.037958335792652884,10,35,2740,20,0.8886918084659492
Loan,15,0.9752380952380952,0.8918424713352255,0.037958335792652884,10,35,2740,20,0.8886918084659492
Machine,15,0.8813559322033898,0.8918424713352255,0.037958335792652884,10,35,2740,20,0.8886918084659492
personality,16,0.9187935034802784,0.6943939678995823,0.004308362974571588,10,9,256,34,0.6443563283247326
Heart,16,0.8932038834951457,0.6943939678995823,0.004308362974571588,10,9,256,34,0.6443563283247326
Loan,16,0.9593810444874274,0.6943939678995823,0.004308362974571588,10,9,256,34,0.6443563283247326
Machine,16,0.8813559322033898,0.6943939678995823,0.004308362974571588,10,9,256,34,0.6443563283247326
personality,17,0.9200463499420626,0.7757346007463081,0.0031599697383525734,14,52,4241,48,0.6915192661966489
Heart,17,0.9055374592833876,0.7757346007463081,0.0031599697383525734,14,52,4241,48,0.6915192661966489
Loan,17,0.9753320683111955,0.7757346007463081,0.0031599697383525734,14,52,4241,48,0.6915192661966489
Machine,17,0.9029535864978903,0.7757346007463081,0.0031599697383525734,14,52,4241,48,0.6915192661966489
personality,18,0.9084588644264194,0.6307919639315172,0.005220949381122231,13,28,2675,64,0.7182534743350856
Heart,18,0.8910891089108911,0.6307919639315172,0.005220949381122231,13,28,2675,64,0.7182534743350856
Loan,18,0.9754253308128544,0.6307919639315172,0.005220949381122231,13,28,2675,64,0.7182534743350856
Machine,18,0.9,0.6307919639315172,0.005220949381122231,13,28,2675,64,0.7182534743350856
personality,19,0.9118329466357309,0.6421977039321082,0.013517347792740362,11,44,1413,49,0.9533121035675474
Heart,19,0.8844884488448845,0.6421977039321082,0.013517347792740362,11,44,1413,49,0.9533121035675474
Loan,19,0.9753320683111955,0.6421977039321082,0.013517347792740362,11,44,1413,49,0.9533121035675474
Machine,19,0.8803418803418803,0.6421977039321082,0.013517347792740362,11,44,1413,49,0.9533121035675474
personality,20,0.9187935034802784,0.7297380084021096,0.0020064422651244317,8,62,1356,140,0.9272059063689972
Heart,20,0.9079365079365079,0.7297380084021096,0.0020064422651244317,8,62,1356,140,0.9272059063689972
Loan,20,0.9543726235741445,0.7297380084021096,0.0020064422651244317,8,62,1356,140,0.9272059063689972
Machine,20,0.9061224489795918,0.7297380084021096,0.0020064422651244317,8,62,1356,140,0.9272059063689972
personality,21,0.9154113557358053,0.9442922333025374,0.001040450133602816,10,9,4463,70,0.7077649335194086
Heart,21,0.8970099667774086,0.9442922333025374,0.001040450133602816,10,9,4463,70,0.7077649335194086
Loan,21,0.9716446124763705,0.9442922333025374,0.001040450133602816,10,9,4463,70,0.7077649335194086
Machine,21,0.8983050847457628,0.9442922333025374,0.001040450133602816,10,9,4463,70,0.7077649335194086
personality,22,0.9187935034802784,0.6976502088991097,0.0026114235575346576,8,52,1903,71,0.6987504251354405
Heart,22,0.9161290322580645,0.6976502088991097,0.0026114235575346576,8,52,1903,71,0.6987504251354405
Loan,22,0.9754253308128544,0.6976502088991097,0.0026114235575346576,8,52,1903,71,0.6987504251354405
Machine,22,0.9037656903765691,0.6976502088991097,0.0026114235575346576,8,52,1903,71,0.6987504251354405
personality,23,0.8815943728018757,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330611
Heart,23,0.8758169934640523,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330611
Loan,23,0.9732824427480916,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330611
Machine,23,0.8706896551724138,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330611
personality,24,0.9162790697674419,0.7644148053272926,0.0012074542179597598,8,1,3524,145,0.6579579488364892
