Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample
personality,1,0.8782201405152225,0.749816047538945,0.22648248189516848,13,72,3822,40,0.6624074561769746
Heart,1,0.8675496688741722,0.749816047538945,0.22648248189516848,13,72,3822,40,0.6624074561769746
Loan,1,0.9792060491493384,0.749816047538945,0.22648248189516848,13,72,3822,40,0.6624074561769746
Machine,1,0.8620689655172413,0.749816047538945,0.22648248189516848,13,72,3822,40,0.6624074561769746
personality,2,0.9175377468060395,0.662397808134481,0.0013927723945289009,23,24,180,72,0.9879639408647978
Heart,2,0.875,0.662397808134481,0.0013927723945289009,23,24,180,72,0.9879639408647978
Loan,2,0.864406779661017,0.662397808134481,0.0013927723945289009,23,24,180,72,0.9879639408647978
Machine,2,0.7668393782383419,0.662397808134481,0.0013927723945289009,23,24,180,72,0.9879639408647978
personality,3,0.9020979020979021,0.9329770563201687,0.0033572967053517922,23,33,4605,77,0.8099025726528951
Heart,3,0.8940397350993378,0.9329770563201687,0.0033572967053517922,23,33,4605,77,0.8099025726528951
Loan,3,0.9695817490494296,0.9329770563201687,0.0033572967053517922,23,33,4605,77,0.8099025726528951
Machine,3,0.907563025210084,0.9329770563201687,0.0033572967053517922,23,33,4605,77,0.8099025726528951
personality,4,0.9177288528389339,0.7727780074568463,0.005265139631677754,12,92,2797,34,0.7824279936868144
Heart,4,0.8954248366013072,0.7727780074568463,0.005265139631677754,12,92,2797,34,0.7824279936868144
Loan,4,0.9753320683111955,0.7727780074568463,0.005265139631677754,12,92,2797,34,0.7824279936868144
Machine,4,0.8983050847457628,0.7727780074568463,0.005265139631677754,12,92,2797,34,0.7824279936868144
personality,5,0.9187935034802784,0.9140703845572055,0.003123317753376431,22,64,1578,70,0.8721230154351118
Heart,5,0.9196141479099679,0.9140703845572055,0.003123317753376431,22,64,1578,70,0.8721230154351118
Loan,5,0.9752380952380952,0.9140703845572055,0.003123317753376431,22,64,1578,70,0.8721230154351118
Machine,5,0.9029535864978903,0.9140703845572055,0.003123317753376431,22,64,1578,70,0.8721230154351118
personality,6,0.9177288528389339,0.7801997007878172,0.0010785962778329494,16,9,2662,149,0.8736932106048627
Heart,6,0.9049180327868852,0.7801997007878172,0.0010785962778329494,16,9,2662,149,0.8736932106048627
Loan,6,0.9656488549618321,0.7801997007878172,0.0010785962778329494,16,9,2662,149,0.8736932106048627
Machine,6,0.9037656903765691,0.7801997007878172,0.0010785962778329494,16,9,2662,149,0.8736932106048627
personality,7,0.9175377468060395,0.7760609974958406,0.002005873336344495,10,47,84,100,0.7035119926400067
Heart,7,0.8505747126436781,0.7760609974958406,0.002005873336344495,10,47,84,100,0.7035119926400067
Loan,7,0.6530612244897959,0.7760609974958406,0.002005873336344495,10,47,84,100,0.7035119926400067
Machine,7,0.4968152866242038,0.7760609974958406,0.002005873336344495,10,47,84,100,0.7035119926400067
personality,8,0.9105691056910569,0.8650089137415928,0.005917607170144194,8,54,3893,73,0.6125253169822235
Heart,8,0.8947368421052632,0.8650089137415928,0.005917607170144194,8,54,3893,73,0.6125253169822235
Loan,8,0.9753320683111955,0.8650089137415928,0.005917607170144194,8,54,3893,73,0.6125253169822235
Machine,8,0.8803418803418803,0.8650089137415928,0.005917607170144194,8,54,3893,73,0.6125253169822235
personality,9,0.9177288528389339,0.9369139098379994,0.013004555820744673,12,62,1045,33,0.8909087983425683
Heart,9,0.9013157894736842,0.9369139098379994,0.013004555820744673,12,62,1045,33,0.8909087983425683
Loan,9,0.9694656488549618,0.9369139098379994,0.013004555820744673,12,62,1045,33,0.8909087983425683
Machine,9,0.9037656903765691,0.9369139098379994,0.013004555820744673,12,62,1045,33,0.8909087983425683
personality,10,0.9177288528389339,0.7306163075223342,0.02588563920257926,10,85,387,130,0.9314950036607718
Heart,10,0.8990228013029316,0.7306163075223342,0.02588563920257926,10,85,387,130,0.9314950036607718
