Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,Avg_F1
personality,1,0.87953216374269,0.749816047538945,0.2264824818951684,10,72,3822,40,0.6624074561769746,0.8966273221750353
Heart,1,0.8675496688741722,0.749816047538945,0.2264824818951684,10,72,3822,40,0.6624074561769746,0.8966273221750353
Loan,1,0.9773584905660376,0.749816047538945,0.2264824818951684,10,72,3822,40,0.6624074561769746,0.8966273221750353
Machine,1,0.8620689655172413,0.749816047538945,0.2264824818951684,10,72,3822,40,0.6624074561769746,0.8966273221750353
personality,2,0.9175377468060396,0.662397808134481,0.0013927723945289,12,24,180,72,0.9879639408647978,0.8553432196899702
Heart,2,0.875,0.662397808134481,0.0013927723945289,12,24,180,72,0.9879639408647978,0.8553432196899702
Loan,2,0.861995753715499,0.662397808134481,0.0013927723945289,12,24,180,72,0.9879639408647978,0.8553432196899702
Machine,2,0.7668393782383419,0.662397808134481,0.0013927723945289,12,24,180,72,0.9879639408647978,0.8553432196899702
personality,3,0.917728852838934,0.9329770563201688,0.0033572967053517,11,21,1234,77,0.8099025726528951,0.9217152254221243
Heart,3,0.8881578947368421,0.9329770563201688,0.0033572967053517,11,21,1234,77,0.8099025726528951,0.9217152254221243
Loan,3,0.9695817490494296,0.9329770563201688,0.0033572967053517,11,21,1234,77,0.8099025726528951,0.9217152254221243
Machine,3,0.9113924050632912,0.9329770563201688,0.0033572967053517,11,21,1234,77,0.8099025726528951,0.9217152254221243
personality,4,0.9187935034802784,0.7727780074568463,0.0052651396316777,10,42,2097,34,0.7824279936868144,0.9229985854298286
Heart,4,0.8910891089108911,0.7727780074568463,0.0052651396316777,10,42,2097,34,0.7824279936868144,0.9229985854298286
Loan,4,0.9753320683111956,0.7727780074568463,0.0052651396316777,10,42,2097,34,0.7824279936868144,0.9229985854298286
Machine,4,0.9067796610169492,0.7727780074568463,0.0052651396316777,10,42,2097,34,0.7824279936868144,0.9229985854298286
personality,5,0.9187935034802784,0.9140703845572056,0.0031233177533764,14,64,1578,70,0.8721230154351118,0.929149833281558
Heart,5,0.919614147909968,0.9140703845572056,0.0031233177533764,14,64,1578,70,0.8721230154351118,0.929149833281558
Loan,5,0.9752380952380952,0.9140703845572056,0.0031233177533764,14,64,1578,70,0.8721230154351118,0.929149833281558
Machine,5,0.9029535864978904,0.9140703845572056,0.0031233177533764,14,64,1578,70,0.8721230154351118,0.929149833281558
personality,6,0.9187935034802784,0.7801997007878172,0.0010785962778329,8,60,2111,28,0.6063865008880857,0.9200500034500322
Heart,6,0.9113924050632912,0.7801997007878172,0.0010785962778329,8,60,2111,28,0.6063865008880857,0.9200500034500322
Loan,6,0.948374760994264,0.7801997007878172,0.0010785962778329,8,60,2111,28,0.6063865008880857,0.9200500034500322
Machine,6,0.9016393442622952,0.7801997007878172,0.0010785962778329,8,60,2111,28,0.6063865008880857,0.9200500034500322
personality,7,0.917728852838934,0.6923575302488596,0.0039541150801424,11,71,2606,27,0.6137554084460873,0.9228907239127967
Heart,7,0.9019607843137256,0.6923575302488596,0.0039541150801424,11,71,2606,27,0.6137554084460873,0.9228907239127967
Loan,7,0.9773584905660376,0.6923575302488596,0.0039541150801424,11,71,2606,27,0.6137554084460873,0.9228907239127967
Machine,7,0.8945147679324894,0.6923575302488596,0.0039541150801424,11,71,2606,27,0.6137554084460873,0.9228907239127967
personality,8,0.897196261682243,0.9637281608315128,0.0043755171732073,11,2,1071,73,0.8186841117373118,0.9071566977207927
Heart,8,0.8758169934640523,0.9637281608315128,0.0043755171732073,11,2,1071,73,0.8186841117373118,0.9071566977207927
Loan,8,0.9639468690702088,0.9637281608315128,0.0043755171732073,11,2,1071,73,0.8186841117373118,0.9071566977207927
Machine,8,0.8916666666666667,0.9637281608315128,0.0043755171732073,11,2,1071,73,0.8186841117373118,0.9071566977207927
personality,9,0.892271662763466,0.6739417822102108,0.2522195170021428,9,44,211,33,0.8909087983425683,0.9116311334087313
Heart,9,0.8881578947368421,0.6739417822102108,0.2522195170021428,9,44,211,33,0.8909087983425683,0.9116311334087313
Loan,9,0.9809885931558936,0.6739417822102108,0.2522195170021428,9,44,211,33,0.8909087983425683,0.9116311334087313
Machine,9,0.8851063829787233,0.6739417822102108,0.2522195170021428,9,44,211,33,0.8909087983425683,0.9116311334087313
personality,10,0.917728852838934,0.7306163075223342,0.0258856392025792,11,62,387,130,0.9314950036607718,0.924817739020809
Heart,10,0.9013157894736842,0.7306163075223342,0.0258856392025792,11,62,387,130,0.9314950036607718,0.924817739020809
Loan,10,0.9772727272727272,0.7306163075223342,0.0258856392025792,11,62,387,130,0.9314950036607718,0.924817739020809
