Model,Dataset,Search Method,Tunability
lr,credit,random_search,0.0004629215278042498
lr,jm1,random_search,0.0038187658710081562
lr,blood,random_search,0.0
lr,bank_marketing,random_search,0.0003988225621833763
lr,diabetes,random_search,0.004368746551144831
lr,heart,random_search,0.0027596941757415117
lr,pc4,random_search,0.008509423186750409
lr,sonar,random_search,-0.0002903600464574385
lr,schizo,random_search,0.010815487778498833
lr,cmc,random_search,0.0015447317641206215
lr,eucalyptus,random_search,0.0025226757369614106
lr,credit,bayes_opt,0.0007494443280734453
lr,jm1,bayes_opt,0.0038187658710081562
lr,blood,bayes_opt,0.0005281246970061382
lr,bank_marketing,bayes_opt,0.0004168539973828933
lr,diabetes,bayes_opt,0.004579645416016409
lr,heart,bayes_opt,0.005004830687388995
lr,pc4,bayes_opt,0.008609366076527625
lr,sonar,bayes_opt,0.0020308321853983458
lr,schizo,bayes_opt,0.018710793856803076
lr,cmc,bayes_opt,0.0015801425378766387
lr,eucalyptus,bayes_opt,0.004478458049886558
decision_tree,credit,random_search,0.017562677730383003
decision_tree,jm1,random_search,0.031998288313616285
decision_tree,blood,random_search,0.04713183529276477
decision_tree,bank_marketing,random_search,0.04013537435271253
decision_tree,diabetes,random_search,0.04931286303450122
decision_tree,heart,random_search,0.06537965624589992
decision_tree,pc4,random_search,0.05272701313535133
decision_tree,sonar,random_search,0.05212232936282846
decision_tree,schizo,random_search,0.023739995673804914
decision_tree,cmc,random_search,0.02979465493415634
decision_tree,eucalyptus,random_search,0.006788548752834522
decision_tree,credit,bayes_opt,0.017661506534765392
decision_tree,jm1,bayes_opt,0.03228702494236135
decision_tree,blood,bayes_opt,0.04713183529276477
decision_tree,bank_marketing,bayes_opt,0.04040457175862977
decision_tree,diabetes,bayes_opt,0.04931286303450122
decision_tree,heart,bayes_opt,0.04252704588556622
decision_tree,pc4,bayes_opt,0.05272701313535133
decision_tree,sonar,bayes_opt,0.06822988412608377
decision_tree,schizo,bayes_opt,0.029634436513086726
decision_tree,cmc,bayes_opt,0.031796009650261636
decision_tree,eucalyptus,bayes_opt,0.005342970521541979
knn,credit,random_search,0.001419027016076102
knn,jm1,random_search,0.002707592542558812
knn,blood,random_search,0.03251169084529404
knn,bank_marketing,random_search,0.006374663717458873
knn,diabetes,random_search,0.003126856021427038
knn,heart,random_search,0.0032844499576569763
knn,pc4,random_search,0.004711593375214096
knn,sonar,random_search,0.06131222483321186
knn,schizo,random_search,0.0944732857451871
knn,cmc,random_search,0.023337256365388637
knn,eucalyptus,random_search,0.0010487528344672592
knn,credit,bayes_opt,0.001419027016076102
knn,jm1,bayes_opt,0.002707592542558812
knn,blood,bayes_opt,0.032595149538154455
knn,bank_marketing,bayes_opt,0.006374663717458873
knn,diabetes,bayes_opt,0.003126856021427038
knn,heart,bayes_opt,0.004660003101182086
knn,pc4,bayes_opt,0.004711593375214096
knn,sonar,bayes_opt,0.06131222483321186
knn,schizo,bayes_opt,0.0944732857451871
knn,cmc,bayes_opt,0.025079211170554006
knn,eucalyptus,bayes_opt,0.0010487528344672592
