trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.18974082507172618,0.18974082507172618,21.128388,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Bank,0.1843225378562384
1,1,-0.18591597921130493,0.18591597921130493,45.444272,"{'n_estimators': 704, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_samples': 0.9}",704,entropy,,5,5,0.25,0.9,Bank,0.1843225378562384
2,1,-0.18691227877139452,0.18691227877139452,25.843336,"{'n_estimators': 526, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 0.25, 'max_samples': 0.5}",526,entropy,,6,6,0.25,0.5,Bank,0.1843225378562384
3,1,-0.1859340078711351,0.1859340078711351,71.25808,"{'n_estimators': 937, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",937,log_loss,20.0,16,4,0.33,0.7,Bank,0.1843225378562384
4,1,-0.19182147675814262,0.19182147675814262,4.044705,"{'n_estimators': 107, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': 0.9}",107,log_loss,10.0,17,6,sqrt,0.9,Bank,0.1843225378562384
5,1,-0.1936124988058688,0.1936124988058688,7.707659,"{'n_estimators': 267, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.5}",267,entropy,10.0,2,1,0.1,0.5,Bank,0.1843225378562384
6,1,-0.1894363868939247,0.1894363868939247,26.744339,"{'n_estimators': 420, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",420,entropy,10.0,16,2,0.33,,Bank,0.1843225378562384
7,1,-0.1897638532231571,0.1897638532231571,53.450879,"{'n_estimators': 1245, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.5}",1245,log_loss,10.0,18,3,0.33,0.5,Bank,0.1843225378562384
8,1,-0.18727204047730772,0.18727204047730772,16.652833,"{'n_estimators': 498, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.7}",498,entropy,20.0,4,5,sqrt,0.7,Bank,0.1843225378562384
9,1,-0.18582309522310556,0.18582309522310556,54.596115,"{'n_estimators': 986, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",986,gini,,14,1,0.25,0.9,Bank,0.1843225378562384
10,1,-0.1872811659103763,0.1872811659103763,63.017939,"{'n_estimators': 1442, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 11, 'min_samples_leaf': 8, 'max_features': 0.25, 'max_samples': 0.9}",1442,gini,15.0,11,8,0.25,0.9,Bank,0.1843225378562384
11,1,-0.18699368485277307,0.18699368485277307,42.331949,"{'n_estimators': 923, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': 0.25, 'max_samples': 0.9}",923,gini,,8,9,0.25,0.9,Bank,0.1843225378562384
12,1,-0.1858292078909564,0.1858292078909564,72.691823,"{'n_estimators': 1107, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",1107,gini,,13,1,0.25,0.9,Bank,0.1843225378562384
13,1,-0.18580885121498522,0.18580885121498522,77.477318,"{'n_estimators': 1145, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",1145,gini,,13,1,0.25,0.9,Bank,0.1843225378562384
