trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.16756711275017552,0.16756711275017552,6.860452,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Gym,0.1786213871377209
1,1,-0.15693596276476737,0.15693596276476737,9.499364,"{'n_estimators': 704, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_samples': 0.9}",704,entropy,,5,5,0.25,0.9,Gym,0.1786213871377209
2,1,-0.1589817049016262,0.1589817049016262,5.65168,"{'n_estimators': 526, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 0.25, 'max_samples': 0.5}",526,entropy,,6,6,0.25,0.5,Gym,0.1786213871377209
3,1,-0.155365516077323,0.155365516077323,13.062001,"{'n_estimators': 937, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",937,log_loss,20.0,16,4,0.33,0.7,Gym,0.1786213871377209
4,1,-0.15657159157216066,0.15657159157216066,1.611795,"{'n_estimators': 107, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': 0.9}",107,log_loss,10.0,17,6,sqrt,0.9,Gym,0.1786213871377209
5,1,-0.16490271200960244,0.16490271200960244,2.676369,"{'n_estimators': 267, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.5}",267,entropy,10.0,2,1,0.1,0.5,Gym,0.1786213871377209
6,1,-0.15618174294982454,0.15618174294982454,7.231248,"{'n_estimators': 420, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",420,entropy,10.0,16,2,0.33,,Gym,0.1786213871377209
7,1,-0.1561426775739821,0.1561426775739821,16.485131,"{'n_estimators': 1245, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.5}",1245,log_loss,10.0,18,3,0.33,0.5,Gym,0.1786213871377209
8,1,-0.15490482167243563,0.15490482167243563,7.178331,"{'n_estimators': 498, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.7}",498,entropy,20.0,4,5,sqrt,0.7,Gym,0.1786213871377209
9,1,-0.15813991048264445,0.15813991048264445,12.893127,"{'n_estimators': 986, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",986,gini,,14,1,0.25,0.9,Gym,0.1786213871377209
10,2,-0.1550499841830307,0.1550499841830307,3.412178,"{'n_estimators': 1423, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_samples': 0.7}",1423,gini,20.0,8,9,sqrt,0.7,Gym,0.1786213871377209
11,1,-0.15490239161670777,0.15490239161670777,15.451379,"{'n_estimators': 955, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",955,log_loss,20.0,9,4,0.33,0.7,Gym,0.1786213871377209
12,1,-0.15489384155857586,0.15489384155857586,15.004391,"{'n_estimators': 999, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.7}",999,log_loss,15.0,9,4,sqrt,0.7,Gym,0.1786213871377209
13,1,-0.1548181748702938,0.1548181748702938,17.633059,"{'n_estimators': 1122, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.7}",1122,log_loss,15.0,10,3,0.33,0.7,Gym,0.1786213871377209
