trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.1348185836896321,0.1348185836896321,5.313913,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Heart Disease,0.1044106469027575
1,1,-0.12751428591548014,0.12751428591548014,6.060128,"{'n_estimators': 704, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_samples': 0.9}",704,entropy,,5,5,0.25,0.9,Heart Disease,0.1044106469027575
2,1,-0.13088417352851991,0.13088417352851991,4.219887,"{'n_estimators': 526, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 0.25, 'max_samples': 0.5}",526,entropy,,6,6,0.25,0.5,Heart Disease,0.1044106469027575
3,1,-0.12803493521015008,0.12803493521015008,8.076208,"{'n_estimators': 937, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",937,log_loss,20.0,16,4,0.33,0.7,Heart Disease,0.1044106469027575
4,1,-0.12917038276237594,0.12917038276237594,1.036752,"{'n_estimators': 107, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': 0.9}",107,log_loss,10.0,17,6,sqrt,0.9,Heart Disease,0.1044106469027575
5,1,-0.12920603486693485,0.12920603486693485,2.390752,"{'n_estimators': 267, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.5}",267,entropy,10.0,2,1,0.1,0.5,Heart Disease,0.1044106469027575
6,1,-0.12807546686616314,0.12807546686616314,4.196993,"{'n_estimators': 420, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",420,entropy,10.0,16,2,0.33,,Heart Disease,0.1044106469027575
7,1,-0.12942933999562953,0.12942933999562953,10.891502,"{'n_estimators': 1245, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.5}",1245,log_loss,10.0,18,3,0.33,0.5,Heart Disease,0.1044106469027575
8,1,-0.128467209168924,0.128467209168924,4.47249,"{'n_estimators': 498, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.7}",498,entropy,20.0,4,5,sqrt,0.7,Heart Disease,0.1044106469027575
9,1,-0.1278918461532953,0.1278918461532953,8.864575,"{'n_estimators': 986, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",986,gini,,14,1,0.25,0.9,Heart Disease,0.1044106469027575
10,2,-0.13123616284810732,0.13123616284810732,2.283058,"{'n_estimators': 1423, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': 0.25, 'max_samples': 0.9}",1423,gini,15.0,8,9,0.25,0.9,Heart Disease,0.1044106469027575
11,1,-0.12725265181878892,0.12725265181878892,8.60586,"{'n_estimators': 923, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",923,gini,,11,1,0.25,0.9,Heart Disease,0.1044106469027575
12,2,-0.13086452493469797,0.13086452493469797,1.377115,"{'n_estimators': 798, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.25, 'max_samples': 0.9}",798,gini,,10,8,0.25,0.9,Heart Disease,0.1044106469027575
13,1,-0.12682774542071726,0.12682774542071726,9.514824,"{'n_estimators': 1065, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.25, 'max_samples': 0.9}",1065,gini,,8,3,0.25,0.9,Heart Disease,0.1044106469027575
14,1,-0.12702537810341302,0.12702537810341302,9.187531,"{'n_estimators': 1011, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 0.25, 'max_samples': 0.9}",1011,gini,15.0,10,3,0.25,0.9,Heart Disease,0.1044106469027575
15,1,-0.12682278068030595,0.12682278068030595,10.321735,"{'n_estimators': 1173, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 0.25, 'max_samples': 0.9}",1173,gini,15.0,9,3,0.25,0.9,Heart Disease,0.1044106469027575
16,1,-0.12679209276512277,0.12679209276512277,11.180294,"{'n_estimators': 1206, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.25, 'max_samples': 0.9}",1206,gini,15.0,8,3,0.25,0.9,Heart Disease,0.1044106469027575
17,2,-0.1342837121888392,0.1342837121888392,2.011792,"{'n_estimators': 1240, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': 0.7}",1240,gini,15.0,7,4,0.1,0.7,Heart Disease,0.1044106469027575
18,1,-0.12768734296536374,0.12768734296536374,14.270341,"{'n_estimators': 1475, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",1475,gini,15.0,14,2,sqrt,,Heart Disease,0.1044106469027575
19,2,-0.126981000887708,0.126981000887708,7.877165,"{'n_estimators': 1205, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 0.25, 'max_samples': 0.9}",1205,gini,15.0,9,4,0.25,0.9,Heart Disease,0.1044106469027575
20,1,-0.12656479852926952,0.12656479852926952,11.347796,"{'n_estimators': 1336, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_samples': 0.9}",1336,gini,15.0,3,2,0.25,0.9,Heart Disease,0.1044106469027575
21,1,-0.12651730063635835,0.12651730063635835,11.407161,"{'n_estimators': 1365, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_samples': 0.9}",1365,gini,15.0,2,2,0.25,0.9,Heart Disease,0.1044106469027575
22,1,-0.12649563320723406,0.12649563320723406,11.525949,"{'n_estimators': 1382, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_samples': 0.9}",1382,gini,15.0,2,2,0.25,0.9,Heart Disease,0.1044106469027575
23,1,-0.1264505042082569,0.1264505042082569,11.709906,"{'n_estimators': 1419, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_samples': 0.9}",1419,gini,15.0,2,2,0.25,0.9,Heart Disease,0.1044106469027575
24,1,-0.12652830312220326,0.12652830312220326,11.442216,"{'n_estimators': 1376, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.25, 'max_samples': 0.9}",1376,gini,15.0,2,2,0.25,0.9,Heart Disease,0.1044106469027575
25,1,-0.12628617357503355,0.12628617357503355,12.246526,"{'n_estimators': 1476, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",1476,gini,15.0,4,1,0.25,0.9,Heart Disease,0.1044106469027575
26,2,-0.13198212225910033,0.13198212225910033,2.296091,"{'n_estimators': 1488, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.7}",1488,gini,20.0,4,1,0.1,0.7,Heart Disease,0.1044106469027575
27,2,-0.12876670537736876,0.12876670537736876,2.091011,"{'n_estimators': 1310, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",1310,gini,15.0,5,1,sqrt,0.5,Heart Disease,0.1044106469027575
28,1,-0.12732182880206813,0.12732182880206813,10.790501,"{'n_estimators': 1128, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",1128,log_loss,15.0,4,2,0.33,,Heart Disease,0.1044106469027575
29,2,-0.13246214231793849,0.13246214231793849,2.273722,"{'n_estimators': 1494, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1494,gini,15.0,6,4,0.1,,Heart Disease,0.1044106469027575
30,1,-0.12562515213113415,0.12562515213113415,12.795438,"{'n_estimators': 1312, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",1312,log_loss,15.0,3,1,0.25,0.9,Heart Disease,0.1044106469027575
31,1,-0.1255752149816993,0.1255752149816993,12.395453,"{'n_estimators': 1362, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",1362,log_loss,15.0,3,1,0.25,0.9,Heart Disease,0.1044106469027575
32,1,-0.12562140556113058,0.12562140556113058,12.952615,"{'n_estimators': 1295, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",1295,log_loss,15.0,3,1,0.25,0.9,Heart Disease,0.1044106469027575
