Pclass,Sex,Age,Fare,Title,Family_size,Ticket_number,Ticket_prefix_code,Embarked_code
3,1,22.0,7.25,3,2,21171.0,1,2
1,0,38.0,71.2833,2,2,17599.0,10,0
3,0,26.0,7.925,1,1,3101282.0,26,2
1,0,35.0,53.1,2,2,113803.0,28,2
3,1,35.0,8.05,3,1,373450.0,28,2
3,1,29.69911764705882,8.4583,3,1,330877.0,28,1
1,1,54.0,51.8625,3,1,17463.0,28,2
3,1,2.0,21.075,4,5,349909.0,28,2
3,0,27.0,11.1333,2,3,347742.0,28,2
2,0,14.0,30.0708,2,2,237736.0,28,0
3,0,4.0,16.7,1,3,9549.0,11,2
1,0,58.0,26.55,1,1,113783.0,28,2
3,1,20.0,8.05,3,1,2151.0,1,2
3,1,39.0,31.275,3,7,347082.0,28,2
3,0,14.0,7.8542,1,1,350406.0,28,2
2,0,55.0,16.0,2,1,248706.0,28,2
3,1,2.0,29.125,4,6,382652.0,28,1
2,1,29.69911764705882,13.0,3,1,244373.0,28,2
3,0,31.0,18.0,2,2,345763.0,28,2
3,0,29.69911764705882,7.225,2,1,2649.0,28,0
2,1,35.0,26.0,3,1,239865.0,28,2
2,1,34.0,13.0,3,1,248698.0,28,2
3,0,15.0,8.0292,1,1,330923.0,28,1
1,1,28.0,35.5,3,1,113788.0,28,2
3,0,8.0,21.075,1,5,349909.0,28,2
3,0,38.0,31.3875,2,7,347077.0,28,2
3,1,29.69911764705882,7.225,3,1,2631.0,28,0
1,1,19.0,263.0,3,6,19950.0,28,2
3,0,29.69911764705882,7.8792,1,1,330959.0,28,1
3,1,29.69911764705882,7.8958,3,1,349216.0,28,2
1,1,40.0,27.7208,0,1,17601.0,10,0
1,0,29.69911764705882,146.5208,2,2,17569.0,10,0
3,0,29.69911764705882,7.75,1,1,335677.0,28,1
2,1,66.0,10.5,3,1,24579.0,4,2
1,1,28.0,82.1708,3,2,17604.0,10,0
1,1,42.0,52.0,3,2,113789.0,28,2
3,1,29.69911764705882,7.2292,3,1,2677.0,28,0
3,1,21.0,8.05,3,1,2152.0,1,2
3,0,18.0,18.0,1,3,345764.0,28,2
