iter	Logloss
0	0.6430803574
1	0.6001915803
2	0.5610319048
3	0.5299636759
4	0.50369391
5	0.4795428161
6	0.4599344697
7	0.4417543904
8	0.425536843
9	0.4126132629
10	0.4030952897
11	0.3929867016
12	0.3838561515
13	0.3761019974
14	0.3689905374
15	0.3631295303
16	0.3581609541
17	0.3538107527
18	0.3500230422
19	0.3462306016
20	0.3423732094
21	0.3390527751
22	0.3361259514
23	0.3344399557
24	0.3323477713
25	0.330626955
26	0.3290548251
27	0.3272570126
28	0.3256079062
29	0.3239406645
30	0.3224259852
31	0.321681604
32	0.3204629027
33	0.3194255224
34	0.3182582798
35	0.3172919442
36	0.3165672765
37	0.3158007122
38	0.3148873504
39	0.3143825979
40	0.3138535086
41	0.3130158926
42	0.3124787226
43	0.3118195094
44	0.3111983631
45	0.3102195226
46	0.3094526087
47	0.3087985742
48	0.3082377666
49	0.3077317903
50	0.3073224302
51	0.3068564104
52	0.3063035129
53	0.3059160614
54	0.3051002505
55	0.3047558568
56	0.3043011345
57	0.303576899
58	0.3032484243
59	0.3028692101
60	0.3024644323
61	0.302028579
62	0.301379262
63	0.3010140163
64	0.3006499179
65	0.3004161029
66	0.2999580845
67	0.2995766011
68	0.2993063769
69	0.2991090646
70	0.2988000182
71	0.2985236141
72	0.2980530504
73	0.2975617016
74	0.297225166
75	0.2968608754
76	0.2965609089
77	0.2963516422
78	0.2960650705
79	0.2956416395
80	0.2953767246
81	0.2946571531
82	0.2945112785
83	0.2943281896
84	0.2941281169
85	0.2939425234
86	0.293722611
87	0.2935196302
88	0.2933567294
89	0.2932032203
90	0.2928924514
91	0.2926751422
92	0.2925329869
93	0.292334588
94	0.2919743148
95	0.2917723168
96	0.2916086605
97	0.2913893435
98	0.2912108316
99	0.291099056
100	0.2909804751
101	0.2908459847
102	0.2906834105
103	0.2904979056
104	0.2903384082
105	0.2902505801
106	0.2900891429
107	0.2898916326
108	0.2897692039
109	0.2895434112
110	0.2894220056
