iter	Passed	Remaining
0	15	15226
1	29	14521
2	43	14622
3	58	14465
4	71	14234
5	85	14122
6	99	14048
7	112	14002
8	126	13971
9	141	13959
10	154	13905
11	168	13838
12	181	13808
13	195	13755
14	209	13741
15	223	13733
16	237	13725
17	250	13693
18	264	13653
19	278	13636
20	292	13617
21	306	13612
22	320	13596
23	333	13556
24	347	13536
25	361	13532
26	375	13514
27	389	13523
28	403	13515
29	417	13491
30	430	13461
31	444	13431
32	457	13404
33	471	13406
34	485	13397
35	499	13386
36	513	13361
37	527	13342
38	541	13334
39	554	13316
40	568	13305
41	583	13301
42	596	13273
43	610	13257
44	623	13235
45	637	13212
46	651	13201
47	665	13198
48	688	13360
49	705	13407
50	721	13426
51	738	13461
52	756	13518
53	776	13600
54	790	13582
55	805	13580
56	819	13550
57	833	13537
58	847	13521
59	861	13493
60	874	13455
61	887	13431
62	900	13400
63	914	13376
64	928	13357
65	942	13340
66	956	13312
67	969	13291
68	983	13267
69	997	13251
70	1011	13231
71	1024	13206
72	1038	13191
73	1052	13167
74	1067	13164
75	1081	13152
76	1095	13131
77	1110	13123
78	1123	13098
79	1137	13076
80	1150	13053
81	1163	13024
82	1180	13038
83	1194	13021
84	1208	13004
85	1221	12980
86	1234	12955
87	1250	12959
88	1264	12948
89	1280	12952
90	1296	12947
91	1310	12936
92	1324	12916
93	1337	12894
94	1351	12873
95	1364	12852
96	1377	12828
97	1391	12809
98	1405	12787
99	1418	12764
100	1431	12745
101	1445	12723
102	1458	12703
103	1472	12688
104	1486	12671
105	1500	12652
106	1513	12634
107	1526	12610
108	1540	12590
109	1553	12570
110	1566	12545
111	1579	12525
112	1593	12506
113	1606	12486
114	1620	12472
115	1634	12453
116	1647	12436
117	1661	12415
118	1674	12400
119	1688	12380
120	1702	12364
121	1716	12353
122	1729	12334
123	1743	12315
124	1756	12295
125	1769	12277
126	1783	12258
127	1796	12241
128	1810	12223
129	1824	12207
130	1837	12186
131	1850	12168
132	1864	12153
133	1877	12134
134	1890	12115
135	1904	12096
136	1917	12078
137	1931	12061
138	1943	12041
139	1956	12018
140	1969	12001
141	1984	11988
142	1997	11973
143	2011	11955
144	2024	11935
145	2037	11916
146	2050	11896
147	2063	11876
148	2076	11857
149	2090	11843
150	2103	11824
151	2116	11809
152	2130	11794
153	2143	11777
154	2156	11756
155	2169	11737
156	2182	11721
157	2196	11703
158	2213	11706
159	2226	11690
160	2240	11676
161	2253	11659
162	2267	11641
163	2280	11623
164	2293	11607
165	2306	11589
166	2320	11572
167	2333	11557
168	2348	11548
169	2362	11532
170	2376	11521
171	2390	11508
172	2403	11490
173	2417	11474
174	2430	11460
175	2444	11444
176	2458	11430
177	2471	11412
178	2483	11392
179	2497	11376
180	2510	11359
181	2523	11343
182	2537	11326
183	2550	11310
184	2563	11294
185	2577	11278
186	2590	11263
187	2604	11249
188	2617	11231
189	2630	11213
190	2645	11203
191	2658	11189
192	2672	11176
193	2686	11161
194	2699	11144
195	2712	11127
196	2725	11109
197	2738	11092
198	2759	11105
199	2774	11098
200	2789	11090
201	2803	11076
202	2817	11061
203	2830	11045
204	2844	11029
205	2857	11012
206	2870	10997
207	2884	10982
208	2897	10965
209	2909	10946
210	2922	10928
211	2936	10913
212	2950	10900
213	2963	10884
214	2976	10867
215	2990	10852
216	3003	10837
217	3016	10821
218	3030	10807
219	3044	10793
220	3057	10778
221	3070	10762
222	3084	10748
223	3098	10732
224	3112	10722
225	3126	10707
226	3139	10690
227	3152	10674
228	3165	10658
229	3179	10642
230	3192	10627
231	3205	10610
232	3217	10592
233	3231	10578
234	3244	10562
235	3257	10546
236	3270	10530
237	3283	10514
238	3297	10500
239	3310	10484
240	3323	10467
241	3335	10449
242	3349	10433
243	3362	10419
244	3376	10405
245	3389	10387
246	3402	10372
247	3415	10356
248	3430	10345
249	3444	10332
250	3457	10316
251	3471	10304
252	3485	10291
253	3499	10277
254	3513	10263
255	3526	10249
256	3540	10235
257	3553	10219
258	3566	10203
259	3582	10194
260	3595	10181
261	3608	10165
262	3624	10156
263	3638	10143
264	3651	10127
265	3664	10111
266	3677	10095
267	3690	10080
268	3703	10065
269	3717	10051
270	3731	10037
271	3744	10021
272	3758	10008
273	3772	9994
274	3786	9981
275	3798	9964
276	3812	9950
277	3825	9935
278	3839	9920
279	3852	9906
280	3865	9890
281	3879	9876
282	3896	9871
283	3917	9877
284	3931	9863
285	3944	9846
286	3957	9831
287	3971	9817
288	3984	9801
289	3998	9788
290	4011	9772
291	4025	9760
292	4038	9745
293	4052	9731
294	4065	9715
295	4078	9701
296	4092	9686
297	4105	9670
298	4119	9658
299	4132	9643
300	4145	9627
301	4159	9612
302	4172	9597
303	4185	9582
304	4199	9568
305	4211	9552
306	4225	9537
307	4237	9521
308	4251	9507
309	4275	9515
310	4288	9500
311	4301	9485
312	4316	9473
313	4330	9460
314	4343	9445
315	4356	9430
316	4369	9414
317	4382	9399
318	4397	9387
319	4410	9372
320	4423	9357
321	4436	9342
322	4449	9326
323	4463	9311
324	4475	9296
325	4489	9281
326	4502	9265
327	4515	9251
328	4528	9236
329	4542	9222
330	4555	9206
331	4568	9191
332	4581	9176
333	4594	9161
334	4608	9147
335	4622	9135
336	4635	9120
337	4649	9106
338	4662	9091
339	4677	9079
340	4691	9066
341	4705	9053
342	4718	9038
343	4731	9022
344	4750	9018
345	4764	9005
346	4778	8993
347	4792	8979
348	4805	8964
349	4818	8948
350	4831	8933
351	4845	8919
352	4858	8905
353	4872	8891
354	4885	8875
355	4898	8861
356	4911	8845
357	4924	8830
358	4937	8816
359	4950	8800
360	4963	8785
361	4976	8770
362	4990	8756
363	5003	8742
364	5017	8728
365	5029	8712
366	5041	8696
367	5055	8682
368	5069	8668
369	5083	8655
370	5095	8639
371	5108	8624
372	5122	8610
373	5135	8596
374	5148	8581
375	5161	8565
376	5174	8550
377	5187	8535
378	5200	8520
379	5213	8506
380	5228	8494
381	5241	8479
382	5254	8465
383	5268	8451
384	5281	8436
385	5293	8420
386	5306	8405
387	5320	8391
388	5333	8376
389	5346	8362
390	5359	8347
391	5372	8332
392	5386	8318
393	5399	8304
394	5412	8290
395	5425	8275
396	5439	8261
397	5451	8246
398	5464	8231
399	5477	8216
400	5490	8202
401	5504	8188
402	5517	8172
403	5530	8158
404	5543	8143
405	5556	8129
406	5570	8116
407	5583	8101
408	5598	8090
409	5613	8077
410	5625	8061
411	5637	8046
412	5651	8032
413	5664	8018
414	5677	8003
415	5691	7989
416	5704	7974
417	5717	7960
418	5730	7946
419	5744	7933
420	5757	7918
421	5771	7904
422	5784	7890
423	5797	7875
424	5809	7860
425	5823	7846
426	5836	7831
427	5849	7817
428	5862	7803
429	5876	7789
430	5889	7775
431	5902	7760
432	5915	7745
433	5927	7730
434	5942	7718
435	5955	7704
436	5968	7689
437	5982	7676
438	5996	7662
439	6009	7648
440	6022	7634
441	6036	7620
442	6048	7605
443	6061	7590
444	6075	7577
445	6089	7563
446	6102	7549
447	6115	7534
448	6128	7520
449	6141	7506
450	6155	7493
451	6168	7478
452	6182	7465
453	6195	7450
454	6208	7436
455	6221	7422
456	6235	7408
457	6250	7397
458	6271	7392
459	6284	7377
460	6297	7363
461	6310	7348
462	6323	7334
463	6337	7321
464	6351	7307
465	6364	7293
466	6377	7279
467	6390	7264
468	6403	7250
469	6417	7236
470	6430	7222
471	6443	7208
472	6457	7194
473	6470	7180
474	6484	7167
475	6498	7153
476	6512	7140
477	6525	7125
478	6538	7111
479	6551	7097
480	6565	7084
481	6578	7070
482	6591	7055
483	6605	7041
484	6618	7027
485	6631	7013
486	6645	7000
487	6658	6985
488	6672	6972
489	6685	6958
490	6698	6944
491	6711	6930
492	6729	6920
493	6745	6909
494	6758	6894
495	6773	6882
496	6786	6868
497	6799	6854
498	6813	6840
499	6828	6828
500	6844	6816
501	6858	6803
502	6871	6789
503	6884	6774
504	6897	6761
505	6911	6747
506	6924	6732
507	6937	6718
508	6950	6704
509	6963	6690
510	6976	6676
511	6989	6662
512	7002	6647
513	7015	6633
514	7029	6619
515	7042	6605
516	7054	6590
517	7067	6576
518	7080	6562
519	7093	6548
520	7107	6534
521	7120	6520
522	7133	6506
523	7146	6491
524	7159	6477
525	7172	6463
526	7185	6449
527	7198	6435
528	7212	6421
529	7225	6407
530	7238	6393
531	7252	6380
532	7267	6367
533	7280	6353
534	7292	6338
535	7306	6324
536	7319	6311
537	7332	6297
538	7345	6282
539	7358	6268
540	7373	6255
541	7387	6242
542	7400	6228
543	7416	6216
544	7440	6211
545	7462	6204
546	7485	6199
547	7507	6192
548	7526	6182
549	7548	6175
550	7587	6183
551	7634	6196
552	7660	6191
553	7679	6182
554	7695	6170
555	7711	6158
556	7730	6147
557	7747	6136
558	7766	6127
559	7784	6116
560	7804	6107
561	7823	6097
562	7841	6086
563	7860	6076
564	7882	6068
565	7903	6060
566	7927	6053
567	7947	6044
568	7969	6036
569	8079	6095
570	8117	6098
571	8170	6113
572	8205	6114
573	8234	6111
574	8256	6102
575	8277	6093
576	8299	6084
577	8319	6074
578	8340	6064
579	8363	6056
580	8385	6047
581	8407	6038
582	8432	6031
583	8453	6021
584	8473	6011
585	8498	6004
586	8520	5994
587	8540	5983
588	8561	5974
589	8583	5964
590	8609	5957
591	8629	5947
592	8650	5937
593	8673	5928
594	8694	5918
595	8720	5911
596	8750	5907
597	8774	5898
598	8795	5887
599	8815	5876
600	8836	5866
601	8858	5856
602	8880	5846
603	8901	5836
604	8922	5825
605	8941	5813
606	8963	5803
607	8985	5793
608	9006	5782
609	9025	5770
610	9042	5756
611	9062	5745
612	9082	5734
613	9102	5722
614	9121	5710
615	9142	5699
616	9164	5688
617	9185	5677
618	9206	5666
619	9228	5656
620	9253	5647
621	9275	5637
622	9297	5626
623	9318	5615
624	9340	5604
625	9361	5592
626	9383	5582
627	9405	5571
628	9425	5559
629	9442	5545
630	9459	5531
631	9478	5519
632	9496	5505
633	9514	5492
634	9534	5480
635	9555	5468
636	9574	5456
637	9599	5446
638	9622	5435
639	9641	5423
