number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.921841789225792,0.9993496397661437,2.1956665696256588,0.003409263441028047,10,1166,0.5876408335611993,COMPLETE
1,0.9283720804176845,0.9195838897502128,4.858697269057978,0.041360486663855264,6,621,0.9757476230574273,COMPLETE
2,0.9144212203131151,0.8627423989352336,0.5022903193157687,0.009330326911850088,5,363,0.9785813688071476,COMPLETE
3,0.9126623645538735,0.9485753653386326,0.8945802559854038,0.003883713031600765,8,374,0.8586223926978991,COMPLETE
4,0.9220009300555813,0.8330852827127617,0.36409864748238946,0.007150139958221251,6,890,0.8561810700698236,COMPLETE
5,0.9216847446001021,0.9859644773457465,0.2303981428112965,0.06631433898220628,8,1095,0.7487245654213271,COMPLETE
6,0.91181201062386,0.9170681608512814,5.161044455888629,0.17707385454241503,11,1714,0.5372561705814378,COMPLETE
7,0.9283150127143028,0.9577306345465524,4.883788879446806,0.020671902392573174,8,1463,0.5157851187321428,COMPLETE
8,0.9096540862570349,0.9071699069455685,0.6365370583400193,0.006649018848394431,2,1045,0.5853019390818668,COMPLETE
9,0.926160118405683,0.6495687953758832,5.977940475417858,0.13524709354728026,9,250,0.6705462733385077,COMPLETE
10,0.9271774478635558,0.8043945415975915,1.2501118272327185,0.18757258595357668,2,538,0.6225914639334402,COMPLETE
11,0.9102810990337485,0.8839108782276193,0.13119160885070963,0.0012053701632102351,7,1060,0.7968962117058244,COMPLETE
12,0.9166154658651989,0.7193405997011022,1.091403996282439,0.0640926778666684,10,1961,0.6705612806679024,COMPLETE
13,0.9257160306660123,0.7247154243380892,2.4568149784346223,0.009767063717761777,9,1060,0.5538387670845282,COMPLETE
14,0.9283322369125836,0.9313859900065627,2.961263549331918,0.01135332359195618,8,1864,0.7119869541750747,COMPLETE
15,0.927701525398435,0.5748315777534297,0.45416557583771533,0.016954632302615538,4,1979,0.5624375523283406,COMPLETE
16,0.9177962194049862,0.9172105229683554,0.8130004084281449,0.06761868060760537,10,1412,0.6783455036165897,COMPLETE
17,0.921309221018816,0.6904334664588001,2.006247526608099,0.10295833457122935,7,1581,0.8905841399743213,COMPLETE
18,0.9172413823320132,0.7436228806169239,1.1171650918332432,0.0011182419326096992,11,1650,0.843731275921779,COMPLETE
19,0.9122607504398704,0.9953929031312623,0.22832662956117794,0.0013428982041090193,6,1519,0.5292919828059255,COMPLETE
20,0.9202093443921401,0.677782261565244,0.8669796731036762,0.016958126226888956,2,1588,0.708670176304224,COMPLETE
21,0.9251781277336858,0.8101823800299783,0.8071929528621552,0.012118504187958819,9,673,0.543874774588617,COMPLETE
22,0.8992163314227274,0.8409781298146157,0.10214520752192337,0.006724813927759455,2,334,0.8457091721785983,COMPLETE
23,0.9169788888563125,0.7936121382611065,0.11725380961588924,0.004535268326567824,6,742,0.68843258452159,COMPLETE
24,0.9279781359387617,0.7076259720454907,0.38460567942121276,0.030909412450292596,8,692,0.8536420537815603,COMPLETE
25,0.920501653605465,0.8552448653580849,0.4682383839120011,0.006316944294322177,8,576,0.9654432862816167,COMPLETE
26,0.9214860219354498,0.903975827601225,0.17060564056495964,0.024212545209279488,2,1151,0.8533120453924903,COMPLETE
27,0.9051314795777339,0.8780943955154737,0.14734369525005317,0.2586052190160365,8,1855,0.9706829744715322,COMPLETE
28,0.9133226667771521,0.803061265815793,0.44795663616464326,0.001795159700964204,10,626,0.8761204763179471,COMPLETE
29,0.9172394089135372,0.5262662161793501,0.30471406545630947,0.001701598369446755,9,1340,0.884593629843467,COMPLETE
30,0.924503708004154,0.7494261132503712,0.381512513872531,0.019388320678270225,11,409,0.9740797669455881,COMPLETE
31,0.900002877283622,0.5534714832075749,0.5645403545119192,0.0023866941706486974,4,381,0.6228647900820752,COMPLETE
32,0.9210630853595682,0.8760199086655918,9.978570873944912,0.19530281335361782,8,958,0.6442176297593722,COMPLETE
33,0.9124430751443477,0.9502845739348682,0.8608194897021859,0.25786906447677765,9,476,0.9240602388296311,COMPLETE
34,0.9113149735313414,0.9274292036068861,0.11249563452380465,0.008890633267522614,7,167,0.8511664150801082,COMPLETE
35,0.927264530122756,0.8457507247401939,0.4020788321392738,0.03084300547195966,6,466,0.9571099227006895,COMPLETE
36,0.9280072011915085,0.929077749435684,1.1620543513614106,0.2529567241171953,3,522,0.891083985926822,COMPLETE
37,0.926789883880189,0.9999222507401475,0.6941173861593386,0.09699246933229207,2,887,0.5349278678366218,COMPLETE
38,0.9271828237861479,0.9025482815889154,0.6974024446904696,0.13140182215253662,5,566,0.9501890027817916,COMPLETE
39,0.9088350629970865,0.5058454993631856,0.1986665118660465,0.29809549013753023,10,225,0.8567790361426777,COMPLETE
40,0.9282743643430077,0.5244755430572341,0.6846542734187819,0.056195607071880656,4,1776,0.9311737884031674,COMPLETE
41,0.8940587464769774,0.7797347199936335,0.9384858473410871,0.0017264396732680864,2,740,0.5056943550616172,COMPLETE
42,0.9237679151934223,0.9919063901919422,5.816746642060214,0.004451315348749846,7,1875,0.6040866655897723,COMPLETE
43,0.920250312858804,0.6683027325040993,0.5070739094176369,0.0014151993368973035,11,1990,0.7434552355681571,COMPLETE
44,0.928394864070071,0.6176064546930741,8.172165857621525,0.04150124889762049,5,1704,0.9820878222729605,COMPLETE
45,0.9279038714507881,0.759311949245863,2.4491890663833584,0.10447934767073076,3,677,0.5728877774466947,COMPLETE
46,0.9261919478748842,0.9822489216446284,2.2867065502509942,0.07655918434129272,10,345,0.5878495170953815,COMPLETE
47,0.9059795437858651,0.9485791093987016,0.5234222845036657,0.0017622575328206634,5,760,0.8975724844620755,COMPLETE
48,0.9260737665940848,0.8858714432089569,8.27948571219852,0.2934192064201515,4,723,0.6444601286107996,COMPLETE
49,0.9239293586986008,0.9181578866006714,1.0312560581913712,0.006091157292582164,9,1000,0.8494040578647606,COMPLETE
