number,value,user_attrs_feature_fraction,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_num_leaves,user_attrs_subsample,state
0,0.988330002774965,0.7194678969266672,0.00243031719948775,2,1242,19,0.898687276667582,COMPLETE
1,0.9977775730550077,0.698660369453965,0.0011059064749376123,10,802,206,0.9687224098603051,COMPLETE
2,0.9943070283379593,0.9693689608942979,0.03197945966363898,3,163,150,0.5822544447385288,COMPLETE
3,0.9992216361895475,0.6979259186541567,0.04500825755250742,11,1536,91,0.5775250221352187,COMPLETE
4,0.9991792487643109,0.8348212121794755,0.03787003314640315,10,1952,253,0.9441001901935151,COMPLETE
5,0.999592516115955,0.885706240615986,0.06421026281517137,9,420,163,0.8728935480820941,COMPLETE
6,0.9992583014709733,0.5400546995223061,0.00718795210398257,11,784,191,0.595985283925072,COMPLETE
7,0.9995891771414253,0.8796276494494237,0.012391959285688054,4,1556,117,0.7483018047654465,COMPLETE
8,0.9993417821780571,0.6077328187361785,0.1058274194939846,2,735,78,0.6684284842554309,COMPLETE
9,0.9996796508749624,0.5688964025282357,0.08919182062247798,6,444,132,0.8636783381635931,COMPLETE
10,0.9996173543647368,0.9241027714362253,0.0030052289276220777,9,1836,225,0.9940687096070694,COMPLETE
11,0.9996855527609108,0.679723006249533,0.0281122121583765,8,856,100,0.9882975908118632,COMPLETE
12,0.9934006257445501,0.7447704163610251,0.010053492486984788,3,450,84,0.6386412954570132,COMPLETE
13,0.999747980377166,0.9401791943386998,0.007813817560821086,7,1388,201,0.5898764302898216,COMPLETE
14,0.9992843788831968,0.9801657360700535,0.005756074316497878,7,803,218,0.6114063333476369,COMPLETE
15,0.999093346824905,0.7395072861664652,0.09796297145106031,10,1491,230,0.5796356206313578,COMPLETE
16,0.9996526070844235,0.6985052367764494,0.006258462007661711,11,1173,198,0.7546754560261398,COMPLETE
17,0.9994982572244645,0.7304455233995971,0.06652395016399502,3,1687,226,0.5986642572667202,COMPLETE
18,0.9955238741500195,0.9659816454185244,0.0014664129395186808,6,866,115,0.5090469793079018,COMPLETE
19,0.9996573565060788,0.5956726799882031,0.06287485048562103,3,636,81,0.9535777863762509,COMPLETE
20,0.9959174671387601,0.5244440354357841,0.0022035155096809555,5,818,54,0.5344469874894573,COMPLETE
21,0.9966401003135372,0.5034030923872572,0.002578898166020296,5,975,46,0.5333027133368461,COMPLETE
22,0.999468838723098,0.6779056006314329,0.07915785805662616,5,861,165,0.9853100405825395,COMPLETE
23,0.998849340529481,0.8060966357382844,0.010129293622456126,11,260,51,0.7398573724255786,COMPLETE
24,0.9991097710270408,0.9663686035195442,0.058425922410550946,6,1688,34,0.6411332146864289,COMPLETE
25,0.9958403175841412,0.7688530503700094,0.0011591735034658783,5,1555,209,0.8584905472720835,COMPLETE
26,0.9997350199117494,0.7488774715877238,0.021446790293685618,6,750,140,0.9810653182300003,COMPLETE
27,0.9996809006114709,0.8070586995815503,0.019710255552399903,9,344,82,0.8091033358449775,COMPLETE
28,0.9995790809198342,0.6795110690413487,0.00868787206251699,5,1231,132,0.9100202996731986,COMPLETE
29,0.9991781089876981,0.6048999179343981,0.14727150543784778,5,1459,37,0.9433061583154758,COMPLETE
30,0.9983843560783603,0.8816597602431981,0.0011247807385995577,9,1482,202,0.6737126236276342,COMPLETE
31,0.9956266337873045,0.7781852947448387,0.009457001718963137,3,774,146,0.8715383130048253,COMPLETE
32,0.9997361935221764,0.6362458686156228,0.0208571723581177,7,1060,247,0.6726992581743966,COMPLETE
33,0.9995477666675708,0.9330054071091061,0.022245973212377965,10,1141,40,0.9669735760965237,COMPLETE
34,0.9985476179764162,0.5477750612958263,0.009903452713938072,3,1569,242,0.6888304268044241,COMPLETE
35,0.9997008477595006,0.6772493934052669,0.09279252849284206,5,337,148,0.7348162396989267,COMPLETE
36,0.9964235300694343,0.6043989100691504,0.002422405596482522,5,936,22,0.6459513697227702,COMPLETE
37,0.9989793289859757,0.7117635853099514,0.0018200291176617672,9,1821,79,0.97181328632024,COMPLETE
38,0.9993993800173485,0.7846438774736266,0.028686977694717057,6,1864,248,0.8702957064907657,COMPLETE
39,0.9973887347744559,0.5343482215421382,0.0020694242911224723,5,1641,234,0.6933462248648359,COMPLETE
40,0.999071037653728,0.5398036966360429,0.2728099256133557,8,1934,133,0.8470556796665476,COMPLETE
41,0.9974662522718032,0.6367782610852223,0.0018998851393701491,7,691,89,0.7380411283547663,COMPLETE
42,0.9992875613763362,0.9595764654846419,0.021549404952864115,9,1851,56,0.906324306687911,COMPLETE
43,0.9965648581401885,0.7900808795334126,0.009158989535675937,3,993,183,0.8968227008160892,COMPLETE
44,0.9991451738842777,0.7413088407980738,0.16561795029913776,7,1252,121,0.711654585782123,COMPLETE
45,0.9974044664407092,0.565066017807282,0.0010944791330402951,11,572,133,0.83647077269031,COMPLETE
46,0.9996296963057391,0.8327205647771119,0.0243818561866138,5,500,84,0.5324051142427864,COMPLETE
47,0.9997161808211316,0.7586941462619696,0.007817429805504598,11,993,106,0.8054176393253337,COMPLETE
48,0.9996749395163477,0.8478775110735248,0.014111926844812803,7,1588,242,0.9004042152982678,COMPLETE
49,0.9988592760404552,0.6059759723739041,0.002148759927480424,9,1583,75,0.9149551153347313,COMPLETE
