number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.9996608308158649,0.9682819647829504,4.128002550009293e-08,0.0329401596053411,10,842,0.7747379167183488,COMPLETE
1,0.9996514207863164,0.7751153659724348,0.03433119319504907,0.13215023767380815,3,666,0.7427289978038546,COMPLETE
2,0.9980653518474333,0.7971381955232959,6.084999552800531,0.006191796970429815,8,889,0.9593998582209406,COMPLETE
3,0.9949220953592347,0.874904007767946,0.0020076913780593605,0.0038471707544834696,4,906,0.7421746010165906,COMPLETE
4,0.9993899573001194,0.935344548117159,1.967094309957131e-08,0.1780431455027658,11,1935,0.9006701341588979,COMPLETE
5,0.9995584792989627,0.8605216816555052,3.3300177263323605e-06,0.01989741888598372,6,670,0.502414485479016,COMPLETE
6,0.9991618433815659,0.5406334282156793,1.3810771426942308,0.026033305800065222,7,664,0.8483633921289855,COMPLETE
7,0.9976926967030919,0.9535547188044365,0.158839620797956,0.003134645145654649,5,1423,0.6232642869506761,COMPLETE
8,0.9996208223306827,0.5728997523172359,4.972745067334494e-05,0.013249792369950473,10,1783,0.8820735689229908,COMPLETE
9,0.9974731987767621,0.955549266477848,1.5775649970644425,0.0028359229276722895,5,1516,0.6946975625172462,COMPLETE
10,0.9979648136115058,0.6089944851573508,0.025947371749642203,0.007016794496305526,6,389,0.7050427613606891,COMPLETE
11,0.999645518900368,0.8805535562601154,0.008685610331381734,0.019339682578583386,10,1957,0.8186759179102034,COMPLETE
12,0.9992853241153784,0.9074109398808743,5.524587998934987e-06,0.0014565214183915338,8,1989,0.7849120044475902,COMPLETE
13,0.9995206721263109,0.5727632394414892,0.0001928946758173905,0.061913166082801036,10,1517,0.9419442981864219,COMPLETE
14,0.9990157722329965,0.6367097509476309,9.016002047745613e-06,0.002892692091741079,10,1062,0.7603812330093058,COMPLETE
15,0.9950281157303543,0.9234109070682912,0.001036573298875617,0.005131341496564027,3,1155,0.840516740821186,COMPLETE
16,0.9994336896194668,0.8265720321567533,7.246540437087567e-05,0.004026083995579145,8,1746,0.5396121843026582,COMPLETE
17,0.9995877962988869,0.9929112910521154,2.9282745768848428e-05,0.05309134791407418,3,951,0.9050052031584258,COMPLETE
18,0.9996372888250863,0.6929836459889152,1.4444898460360331e-06,0.046430861659715175,4,1247,0.5246274767465757,COMPLETE
19,0.9992500058426769,0.9106465724211519,2.8829219481857694e-08,0.00136875374181785,9,1582,0.7268441477231795,COMPLETE
20,0.9995677920562959,0.6070648736422108,0.006288770895414781,0.283116262263893,11,135,0.6841163914495841,COMPLETE
21,0.9991983585254415,0.5537454409200109,1.609306779528764e-05,0.019571113735095156,6,360,0.7278235716494621,COMPLETE
22,0.9977257988609695,0.7192829513998522,1.1780320803538518,0.0019160676462032032,6,1523,0.540734185151689,COMPLETE
23,0.999497123791692,0.605022059954494,0.0003978518420334241,0.14792577373879345,6,1735,0.94819305231411,COMPLETE
24,0.9996491137431168,0.7600300641886526,0.09542192214440778,0.01067180490285366,7,1295,0.6424629723049673,COMPLETE
25,0.999252422845772,0.7443186836836304,4.5326940148409186e-07,0.0029960470366667126,10,1456,0.5185422956304362,COMPLETE
26,0.9995948717952622,0.6842883528742476,1.7402198437065778e-08,0.07020844167629718,5,1840,0.9403544506682537,COMPLETE
27,0.9995513805418402,0.5448427530058291,3.741606608895642e-07,0.010006957553173617,11,1956,0.5241140933156666,COMPLETE
28,0.997877554090309,0.8349026720539734,1.7595345057423112e-05,0.003151044692628235,7,401,0.5262603887948273,COMPLETE
29,0.9996926430595797,0.9428024074632959,0.00891573830129431,0.00897568095099146,7,1841,0.84574332676598,COMPLETE
30,0.9996455442757285,0.8286880004235981,0.00021777580841745388,0.12092295486088146,10,175,0.6857870589579116,COMPLETE
31,0.9986249980238938,0.5563345640087767,0.004358830967686786,0.0017449716093868195,11,1641,0.6595843857388815,COMPLETE
32,0.9988492982372135,0.7072830273142385,1.3789381730232284e-05,0.021315743783150726,7,139,0.6365538047246926,COMPLETE
33,0.9996160665651872,0.932795701656316,1.2991084960553653e-06,0.07644075903173768,3,1430,0.5665331619347411,COMPLETE
34,0.9996207990699356,0.7459916838873283,0.0020207525067293093,0.07336053482832895,9,703,0.5177738187197631,COMPLETE
35,0.9657733150441268,0.9493062140531773,2.6764574590024592,0.006372887409464476,2,137,0.5556336051824631,COMPLETE
36,0.9996066671087055,0.8060316140946859,0.010950301820682592,0.05045194062890913,11,1981,0.5312376636230717,COMPLETE
37,0.9993102088856545,0.5714937132405234,0.0003640032885133817,0.006684781443476388,5,1553,0.8099791582528064,COMPLETE
38,0.9996749944962957,0.9259633718166942,3.4518343070335924e-07,0.04111750259699331,11,425,0.7320901976369428,COMPLETE
39,0.9990286142800637,0.8787973678895936,0.30414115304563427,0.011830624759806375,8,171,0.8637544541959146,COMPLETE
40,0.9996938103261663,0.9311195462266577,0.0006466862191081721,0.01468005527389574,9,1429,0.7103361892478285,COMPLETE
41,0.9995371745691419,0.6964632150500454,5.13637494187668e-06,0.1355961576290089,8,1336,0.9133775222888978,COMPLETE
42,0.9976179461773546,0.8553251224877769,2.476655932740819,0.10977932322737542,3,739,0.5215787929200064,COMPLETE
43,0.9924718970630565,0.7105037954302615,1.813459093347627e-05,0.03123199324731848,2,260,0.9262196987530174,COMPLETE
44,0.9901599796797496,0.5396875192673809,6.256453087240503e-06,0.002332850044674121,2,1599,0.5292009515274567,COMPLETE
45,0.9996549458468236,0.737528946154439,0.06502967110760771,0.29247097565387986,6,1205,0.7943731961966676,COMPLETE
46,0.9994513677873381,0.8968663864256887,1.032307428432974,0.025228162615175784,7,1977,0.6608191254945033,COMPLETE
