number,value,user_attrs_feature_fraction,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_num_leaves,user_attrs_subsample,state
0,0.9373103363741789,0.5947741944394112,0.012096662010924268,9,1052,184,0.7067404603670057,COMPLETE
1,0.935937674237703,0.6065863189200063,0.03239101869640584,4,976,196,0.9457404827192261,COMPLETE
2,0.9332269858604425,0.5186388175877423,0.014609831747132354,7,382,193,0.5148856948643794,COMPLETE
3,0.933435690593578,0.6043528165127048,0.2814913544970691,2,1432,20,0.9080180265349613,COMPLETE
4,0.9361754247157474,0.9613901510880245,0.05590721947689089,10,402,243,0.7327827373369327,COMPLETE
5,0.9220985142715826,0.9107328886913849,0.007838695169853027,7,179,144,0.8697601610033597,COMPLETE
6,0.9375823885237656,0.8644887162908945,0.013972546098100372,8,1957,78,0.7443838537359175,COMPLETE
7,0.9364928437438738,0.7831961137368826,0.02511064687690589,10,1699,78,0.798082306088804,COMPLETE
8,0.93303891482767,0.5933057371581885,0.08462231101746708,8,1597,148,0.6002067417030021,COMPLETE
9,0.9371050013018825,0.9014533024095888,0.050609593837156026,4,994,188,0.5767108531361214,COMPLETE
10,0.9371686176580467,0.5826140623036766,0.0037577813112206248,10,1836,182,0.8051540278908674,COMPLETE
11,0.9354791656639557,0.9868070917631193,0.09959017582246017,9,477,178,0.9355780468322235,COMPLETE
12,0.9071580091601689,0.5910270077890074,0.0012026286660369284,5,183,130,0.8306313844629285,COMPLETE
13,0.9286289702737122,0.5175621328688935,0.00299770032420671,7,1823,19,0.7821513116620576,COMPLETE
14,0.9325552035616343,0.7638347270992722,0.2864803299534058,2,1786,195,0.5622518930172569,COMPLETE
15,0.9327171452427109,0.561444942376261,0.15887025870503915,4,1346,200,0.9425772797611097,COMPLETE
16,0.9289248058754628,0.8886536295879179,0.0144662721606492,3,1274,26,0.7250223941031806,COMPLETE
17,0.9286681895910848,0.7492554768397905,0.0066050244542884325,4,1415,81,0.983062247824721,COMPLETE
18,0.8845404064101704,0.9196996899264194,0.003385225143256739,2,864,182,0.8361518245243738,COMPLETE
19,0.9364549479163767,0.8500293563363177,0.10115606443954259,4,443,165,0.7902416660186362,COMPLETE
20,0.937259039282818,0.6033541064816956,0.009369695250692285,11,1626,195,0.8965227032357885,COMPLETE
21,0.9367065320491248,0.7557559371773905,0.00395203915547452,11,1910,221,0.5847829247000684,COMPLETE
22,0.9357305064596771,0.8436572179147289,0.039884393917122576,6,1829,216,0.5905503196573273,COMPLETE
23,0.9136773618120607,0.5730337364655984,0.009654816415863555,2,1115,23,0.7258307826804415,COMPLETE
24,0.935469049346005,0.8249857052365905,0.06187850520612895,11,1203,68,0.9246065213587717,COMPLETE
25,0.9367008826014883,0.5298439221660687,0.032722799274646885,6,515,47,0.9613582074632456,COMPLETE
26,0.9279175136139198,0.9772304990611123,0.07114611646211717,2,575,38,0.8820165649732405,COMPLETE
27,0.9335592206444513,0.5535985012540037,0.07672087308467423,11,1879,215,0.8529908846054888,COMPLETE
28,0.9331701644444955,0.6022325867918805,0.10115880950432928,7,1908,103,0.9432155296111134,COMPLETE
29,0.933664538461243,0.8518285660145848,0.21541571277971205,3,1044,237,0.7487012450086192,COMPLETE
30,0.9090290015307293,0.6336074851803588,0.00899945629847182,2,867,254,0.979621016034576,COMPLETE
31,0.9051702285907366,0.5412211697283322,0.009164246536143287,2,734,47,0.5166476220766743,COMPLETE
32,0.9327247578451191,0.5126003341666656,0.1928428479558481,7,536,105,0.9232839479273313,COMPLETE
33,0.9348262191546152,0.5266308260280603,0.04098904757338661,11,1041,99,0.8826451413555766,COMPLETE
34,0.9279023318958917,0.6095554179904992,0.007403431716145781,11,746,16,0.9825045171623319,COMPLETE
35,0.9362582133516466,0.7045799789401961,0.0671894058319636,6,1386,17,0.7522462924448468,COMPLETE
36,0.9324790555771116,0.7080612572093268,0.0022165816054344114,8,1538,102,0.5359700297231167,COMPLETE
37,0.9352123621675071,0.6591672958515786,0.11549792969016248,3,501,211,0.5584592439662578,COMPLETE
38,0.9307943057511386,0.5177217587748975,0.0028054295987512694,9,793,147,0.5398125837078322,COMPLETE
39,0.9198804512229306,0.6422891551869967,0.002173519969096023,7,171,97,0.8207138393573387,COMPLETE
40,0.9354180361255087,0.7790711666907824,0.03249615132476893,10,1239,121,0.9946732848231473,COMPLETE
41,0.9318576492323777,0.9429428300542766,0.008896224791401305,5,924,255,0.6438730169438833,COMPLETE
42,0.9087826622949228,0.6855452510012432,0.0076898003470725175,3,509,171,0.6404216065534186,COMPLETE
43,0.9376185710999975,0.9404409694537869,0.008378932722587348,10,1492,83,0.5626790561265969,COMPLETE
44,0.9280641667578958,0.5543924203576149,0.0181488663592196,3,951,136,0.9915861603914894,COMPLETE
45,0.9209769593491894,0.8860010325841686,0.015464829552530446,2,1264,87,0.9692807634168394,COMPLETE
46,0.934966680027704,0.7264802801184012,0.005171251763562072,8,1027,139,0.5734981978182967,COMPLETE
47,0.9326481904897213,0.6424291603001425,0.14043976308529668,8,1378,172,0.6889245042916835,COMPLETE
48,0.9286395507124019,0.6167653058636692,0.0051693780591686375,10,189,170,0.6771785780944122,COMPLETE
49,0.9073445539542551,0.8709423039297155,0.00430735296904498,3,899,119,0.9922585076034134,COMPLETE
