number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.9216723120641985,0.659360662320603,1.8045143949800213,0.0023567357530578626,6,618,0.8005609946978225,COMPLETE
1,0.9277126186967569,0.5900398471984735,5.98516343121647e-08,0.008066977228994575,4,1037,0.7788625324540734,COMPLETE
2,0.9385084029984121,0.6795567457982284,7.765680224805642e-06,0.00513754324355944,11,1490,0.7641859016909418,COMPLETE
3,0.9365305482426766,0.9198347634735486,0.34073691607492224,0.024449448842278745,11,239,0.7935315834617033,COMPLETE
4,0.932624962706849,0.7954852214122612,0.0002246913394263751,0.22866139588007575,11,956,0.8854287833560379,COMPLETE
5,0.9373404039065715,0.6468369990972446,0.031685375201740675,0.00421105742763155,10,1285,0.8606104905015057,COMPLETE
6,0.9353051301383221,0.9142072320734649,0.0014200219675376564,0.005873401934942948,6,1230,0.5762437038964419,COMPLETE
7,0.9363149867288278,0.7943963132837379,0.00038045261507088597,0.03187528190677746,7,238,0.9006881306529273,COMPLETE
8,0.935907955591154,0.8211353029663411,4.396543243335381e-06,0.05714751856060581,10,1812,0.9125829287156645,COMPLETE
9,0.9334322433937504,0.9633138907687464,5.759129574568511e-08,0.2313659296269835,3,1262,0.9819094174275061,COMPLETE
10,0.9350513543482853,0.9926695326434162,1.1642639448513549e-07,0.0031522947476837542,9,1242,0.6887992173734081,COMPLETE
11,0.9332551398130288,0.7548952880981035,1.787333830018324e-08,0.00576753273224424,5,1869,0.9964000984152406,COMPLETE
12,0.9313216688034877,0.8200377481391845,0.08299110691321802,0.0011355739337793884,10,1198,0.7301076573660744,COMPLETE
13,0.9342185182306038,0.9655537739815452,5.308533539057545,0.032997241546242916,10,1872,0.6464012156448823,COMPLETE
14,0.9339138385229648,0.8291250319282648,3.578261446039997,0.10482064039067641,2,1949,0.5151177423800415,COMPLETE
15,0.9347338833555127,0.5177557503967496,1.0589821471694846e-05,0.06904850818737375,9,1531,0.8650283539539663,COMPLETE
16,0.9326043003457299,0.5710997051814204,3.004000718781644,0.2621365469521092,5,1573,0.6642957905082811,COMPLETE
17,0.9249954620534214,0.7982473250545812,1.927724971133845e-08,0.005713982089443018,4,980,0.6559068089851423,COMPLETE
18,0.936075507378908,0.7169068770102972,0.6883394780961862,0.15065024256678133,5,571,0.8802953728433078,COMPLETE
19,0.8988394461797707,0.9421908957209859,0.9193940041363132,0.0015163096149367265,4,808,0.905203253812658,COMPLETE
20,0.9367788017915292,0.8952174231763336,1.591689066535442e-06,0.00578625758914872,10,865,0.9377016513709305,COMPLETE
21,0.9384451588893964,0.9815128011624732,1.1136844164722537e-07,0.00969326111062976,7,1074,0.6769876576168845,COMPLETE
22,0.928410689381077,0.7194288873285752,2.151905046283648e-06,0.011727667217294473,3,1393,0.943922431337183,COMPLETE
23,0.9354641827241587,0.5384064094384546,8.402943936962192e-08,0.13132472556837924,4,275,0.8341265611130468,COMPLETE
24,0.9323369126417186,0.56747020790612,2.2200142990531515,0.0038813654730472493,9,781,0.7623612837462941,COMPLETE
25,0.9266743093820171,0.9108507112165809,0.0004211686733017781,0.005300823271776245,5,796,0.6661069586825012,COMPLETE
26,0.9313175644916182,0.6952442430402817,0.7391707945549797,0.0025953519495599928,10,490,0.8823303357079952,COMPLETE
27,0.9378351342640462,0.7156315650328133,0.014997094524443413,0.04053655314882824,10,675,0.6654022262702091,COMPLETE
28,0.9280180224090094,0.7442023553835044,3.116518375162831e-05,0.0026663784720949066,6,1166,0.643149437450307,COMPLETE
29,0.9304700486499247,0.9974870989613785,0.5977422325218466,0.26808866809819526,6,1119,0.7182915826341043,COMPLETE
30,0.9275561332853751,0.5185098074966443,1.1840795390800397e-07,0.007682170855035443,7,313,0.9488122332566262,COMPLETE
31,0.9215431555335325,0.6626418419062433,0.0031238064044049334,0.00558491644876995,4,855,0.9709178220233183,COMPLETE
32,0.9312878031211924,0.626612176101381,0.04355977007940687,0.004847859416297044,8,499,0.705622770196153,COMPLETE
33,0.939022823738231,0.8890865145945636,4.1113388370559356e-05,0.009614453103995797,10,1584,0.8706736395743188,COMPLETE
34,0.9363374825204386,0.9971788127396424,0.12218048175965443,0.04039053372024535,3,1026,0.8327815322649965,COMPLETE
35,0.9317154269118797,0.7810314218586678,3.111049388709328e-06,0.16444716093975512,3,1236,0.5214188673335383,COMPLETE
36,0.9351423884196657,0.8958511459003753,3.60219821914791e-08,0.11987334302260604,3,1199,0.6533739110454972,COMPLETE
