number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,1.0,0.5576129217178339,1.1779774542523254,0.0017321342178637975,10,1925,0.9117357695574835,COMPLETE
1,1.0,0.8277209329704543,0.10044102935626315,0.003486843995808799,8,986,0.6709637827850075,COMPLETE
2,0.9999985435333335,0.7628117315759999,0.9727042184659582,0.002107346688870799,4,893,0.7267939279451405,COMPLETE
3,0.9999985435333335,0.8816274840924498,1.4060314047921008,0.04387436688783,3,114,0.7213118218972183,COMPLETE
4,1.0,0.6415316965589858,0.24651876689946123,0.038822872605107854,11,1347,0.5395145058694103,COMPLETE
5,0.9999137048033142,0.8577943189125512,0.12062352007549615,0.0019027246328538814,2,1907,0.871196114596732,COMPLETE
6,1.0,0.502077935147798,7.772296535984339,0.02624232630772463,6,347,0.7643782411132485,COMPLETE
7,1.0,0.6289452683805296,0.3084462762111586,0.009752024297218002,6,1499,0.9181355451327027,COMPLETE
8,1.0,0.9695932481140069,6.180682159036933,0.18373852502319957,9,638,0.6950528671703989,COMPLETE
9,0.9999985435333336,0.9952017448555355,9.346565507955937,0.01037104713398288,6,1432,0.5439215304831302,COMPLETE
10,1.0,0.897237017167019,1.951252831513951,0.11216452889521597,5,1755,0.7240243173998886,COMPLETE
11,1.0,0.9870518106418792,0.48620467111932114,0.11220050319539224,8,1986,0.7770592216653249,COMPLETE
12,0.9999202593951958,0.9650997184617343,1.003590407389623,0.004031420736952674,4,201,0.6020996487474332,COMPLETE
13,1.0,0.979416262859393,0.27373141918516264,0.02038052716400699,10,1975,0.6173172538190561,COMPLETE
14,1.0,0.8347885157202393,0.12542866300624755,0.017434676115481648,11,828,0.8178715830300128,COMPLETE
15,1.0,0.9453781716600465,4.432676845740341,0.040134251965907315,6,1575,0.5035659793548103,COMPLETE
16,1.0,0.8397805241516834,0.35381551702657105,0.10461242692546935,3,573,0.9901974059609786,COMPLETE
17,1.0,0.7408767329912751,1.2273823932421604,0.013022169645881038,6,1734,0.8563187824892855,COMPLETE
