number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,1.0,0.7122741235765944,1.8625255285423198e-05,0.11384301787064961,3,1664,0.61991360610428,COMPLETE
1,1.0,0.9467519592004214,0.0020765453677542706,0.08525467244154009,10,846,0.6172487963080084,COMPLETE
2,1.0,0.5591552952614824,0.003565871898318747,0.14254424965865237,8,417,0.6008827549692766,COMPLETE
3,1.0,0.6802385921115143,0.01155613872658455,0.028633348571501377,7,852,0.6528308028482922,COMPLETE
4,1.0,0.9392544365640363,0.543840399018101,0.07147363337534442,4,1005,0.8256312361422715,COMPLETE
5,1.0,0.7502332485001747,0.010164164335706088,0.25436839076438306,7,473,0.6793769625846449,COMPLETE
6,1.0,0.7634116042309038,2.6406175288783925e-06,0.009424485928929974,4,1002,0.565016363135457,COMPLETE
7,1.0,0.8144775415647669,0.0008506159208622458,0.06741030425237145,3,1981,0.8962441793955571,COMPLETE
8,1.0,0.9025139920701384,3.298479152886424e-05,0.21424662267576566,3,1260,0.5936532792375959,COMPLETE
9,1.0,0.7480682981590516,4.479523701255092e-06,0.005550972439149173,10,1027,0.9159736141832535,COMPLETE
10,1.0,0.570691434410141,0.34672885965478756,0.05769418813153164,11,257,0.8839652401456111,COMPLETE
11,1.0,0.6111600188710675,0.005528025402926657,0.2786018623349644,9,887,0.7122701318061518,COMPLETE
12,1.0,0.9460027796817514,1.9452839146916565,0.03129091676100814,7,1980,0.9903361920402053,COMPLETE
13,1.0,0.8460466652478198,8.072973512490932e-08,0.07490240431474074,5,1609,0.5028409258315125,COMPLETE
14,0.9984503530209557,0.9048663312039007,0.5597395146452482,0.0017743350257142633,2,953,0.6913377055364611,COMPLETE
15,1.0,0.7678161074932608,9.010759439750766e-07,0.023643312392630324,4,884,0.7884011845246881,COMPLETE
16,1.0,0.7629596140257322,4.227439988167046e-05,0.0015278991051423103,7,1370,0.88606429112464,COMPLETE
17,1.0,0.9334712601204329,1.3883577523293937e-07,0.05226631671871962,3,1747,0.8535274027326664,COMPLETE
18,1.0,0.5448807023497374,0.00019721880836544477,0.020518514549203264,4,1099,0.7826448030152766,COMPLETE
19,1.0,0.5476436814251199,1.0068050531196851e-08,0.0014928314870261683,11,464,0.5584710132123072,COMPLETE
20,1.0,0.7480127635682858,4.271984398977686e-08,0.004459058037888717,11,1334,0.7581750648639886,COMPLETE
21,0.999990532966668,0.7165615160598736,4.895739608509499e-07,0.0016934688078069364,10,214,0.5157474458855144,COMPLETE
22,1.0,0.6581702072321036,4.027084835730486,0.04194982887505585,8,1731,0.7472146523433361,COMPLETE
23,0.9999934459000008,0.8722382709057375,9.358329801696943e-05,0.0012155829566860077,8,646,0.7962784038198096,COMPLETE
24,1.0,0.8046497066129151,0.6465621315418428,0.025196406645127335,9,1594,0.7455517161644152,COMPLETE
25,1.0,0.8809442053401146,3.0212209263479415e-08,0.0012963665291061517,10,1982,0.8427246644912263,COMPLETE
26,1.0,0.7245277449313969,1.535929479225894e-08,0.12296265092850532,6,1583,0.5315232239205679,COMPLETE
27,1.0,0.8245810293023708,0.021111606259974682,0.2831596138454606,7,1695,0.6174861345917739,COMPLETE
28,1.0,0.6788655755574515,1.3841707005356541e-06,0.00627292907983655,6,1451,0.9788172518728735,COMPLETE
29,1.0,0.9828218969496527,5.453180278224107e-06,0.04002168783191585,11,323,0.8455608876650262,COMPLETE
30,1.0,0.5573060014458238,2.2659760832978853e-07,0.10158242642792031,9,1598,0.9604694580807932,COMPLETE
31,1.0,0.8274383421062788,0.0011557421908454484,0.09675696344411658,6,319,0.6322221037383255,COMPLETE
32,1.0,0.653359841537121,0.006522518135639252,0.06349294005698966,5,1652,0.6178951123236347,COMPLETE
33,1.0,0.9526324838655682,0.01294899042046634,0.09073082295051721,10,571,0.7178059839032713,COMPLETE
