number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
0,0.5290791302783117,0.704157514836068,9.294805842639394e-07,0.004016537657021245,2,1891,0.7161533323282196,COMPLETE
1,0.515442154255206,0.5774572770953443,0.00046225409948987944,0.015378291263382634,9,1089,0.7614006412415304,COMPLETE
2,0.5067514647518023,0.8478796549800978,0.0023434028779333355,0.16151839306204419,6,1765,0.7458798742514554,COMPLETE
3,0.5115815120686921,0.7628243776534933,0.0009518084598222382,0.037125843336818995,8,1311,0.8704938740692699,COMPLETE
4,0.5248172173269018,0.9335602498801788,0.7082980190654132,0.0030209986193255075,9,1164,0.8709211386839146,COMPLETE
5,0.5281148996526509,0.5319494625165749,0.0004745726079412568,0.01631474641832126,6,153,0.8142164111897626,COMPLETE
6,0.5138918289970001,0.7127142385741201,1.3116122639195046e-05,0.08525523145879468,7,171,0.5833858024831176,COMPLETE
7,0.5250033760675447,0.5348449433627244,0.20347100644082952,0.005493113771478838,8,724,0.8367905950061414,COMPLETE
8,0.5287407141111918,0.5685864345086076,1.3892115073985208e-06,0.01387409342584892,3,534,0.8566689967301624,COMPLETE
9,0.5216339522569644,0.5068597211193011,2.2561568493789753e-07,0.0034014258122178048,11,925,0.9955400002654702,COMPLETE
10,0.512265695024296,0.5329202908485525,5.165704859410383e-08,0.055361745162817756,9,632,0.8204848922349708,COMPLETE
11,0.5106419003325832,0.9040898173699672,5.681059163470885e-07,0.05617390530823505,8,546,0.651774306304824,COMPLETE
12,0.5178908042587786,0.9564099691398064,0.02333100844151775,0.03131217546873152,6,782,0.9789688647398351,COMPLETE
13,0.5119114080892125,0.5169215317264151,0.032265349821698215,0.20827172147490866,2,1601,0.9033613910744995,COMPLETE
14,0.5176322989911563,0.595147057672474,1.8320101489304972,0.03630698009454675,8,1392,0.9277330272506472,COMPLETE
15,0.5202256007766836,0.824584699462849,3.35210208984051e-08,0.015558179681437776,6,920,0.6983191452172259,COMPLETE
16,0.5266556009308273,0.5224116413539148,9.986822059366026e-06,0.0010237606998087351,10,513,0.8768743847768969,COMPLETE
17,0.5094201130039294,0.937456303472187,2.3570794425500887e-05,0.2569708450396933,11,1299,0.6761543419091796,COMPLETE
18,0.5143692969510122,0.5794743931614178,6.853975770907833e-07,0.012602142938641774,9,1639,0.6226881873207584,COMPLETE
19,0.5056207175881874,0.7509083476413614,1.8850149382445782,0.2054530463242645,6,1154,0.5838209759399303,COMPLETE
20,0.5212815548246392,0.7837479031188658,3.3216873268670296e-05,0.014024893707904081,8,529,0.9052726220751246,COMPLETE
21,0.5236948415703779,0.9765059333383989,3.46494454810388e-07,0.005335581363932287,6,1868,0.8689523892184667,COMPLETE
22,0.5123791559518539,0.9272987703860788,2.1749431939790775e-07,0.08119147735516428,8,207,0.6542128092341384,COMPLETE
23,0.5156907217081309,0.9835262302632244,5.831466805732783e-05,0.014589255754059812,9,1159,0.5122740015471197,COMPLETE
24,0.52449417445795,0.6495921793651345,0.00116488823067372,0.0023231671396274686,10,1066,0.684079090752034,COMPLETE
25,0.5295175939156241,0.7713240544237762,0.0020721203884157308,0.0012332205667365563,4,1914,0.6178355179644731,COMPLETE
26,0.525719797872744,0.9694696746036082,3.274915355268013e-08,0.002554294520736452,10,609,0.9179504702740766,COMPLETE
27,0.5197229849865228,0.8676990523945367,3.1666156505199586e-05,0.013318723412353859,5,1988,0.7149871327854713,COMPLETE
28,0.5160063112361898,0.9921552056159405,1.636797457877417e-08,0.0698513766799641,4,641,0.7003871687741838,COMPLETE
29,0.5118960133932969,0.7644720074771909,6.548408336368e-06,0.029423801139026762,10,1726,0.9421383106708578,COMPLETE
30,0.5202396045705426,0.9687538007891383,2.493534673858858e-06,0.0027978204907652317,11,1595,0.6469345548644975,COMPLETE
31,0.5089664699444677,0.6313809505429433,8.434371247546444e-05,0.08440202475761766,9,1022,0.5354320037510691,COMPLETE
32,0.5134003425824819,0.7512109624593848,2.0644584005917862e-08,0.04068868764717924,11,509,0.8055156769403233,COMPLETE
33,0.5239222711462009,0.9416576012191187,0.017554504038565188,0.005213017271976712,8,974,0.7138244910062457,COMPLETE
34,0.5147301641665604,0.9586799051396729,0.430155146968082,0.06438998265976205,4,671,0.624643948126226,COMPLETE
35,0.5292551911490962,0.7677291182734987,1.0397299856931144e-06,0.006144358518699008,3,431,0.718454286220381,COMPLETE
36,0.511333605464408,0.9734970112559378,0.00011262007982006007,0.04979499602075743,10,953,0.8615982933734159,COMPLETE
37,0.5291478160649742,0.8183031447084095,0.1021240222633035,0.00194810642604663,5,393,0.7780144218322884,COMPLETE
38,0.5083982621940301,0.5398685876476744,0.23655939032483203,0.1364843491954665,5,1007,0.7315067681811991,COMPLETE
