dataset,algorithm,mean_test_roc_auc,std_test_roc_auc,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1
adult,xgboost,0.9271134071953199,0.0009360247712500525,0.8717906559255372,0.0009749976305395762,0.7093901226697777,0.002375571060988455
adult,lightgbm,0.9278772645514016,0.0013316638531210105,0.8732238960403693,0.0017530185888416931,0.7115770018805198,0.0034372178941194115
adult,catboost,0.9284406042496663,0.000771961677780342,0.8732238545394986,0.0004965220923304058,0.7100215839514474,0.0020260439626373105
kr_vs_kp,xgboost,0.9996078618652661,0.00020500588489714207,0.992177329140572,0.0017719884983115317,0.9925266187400772,0.001666532840758488
kr_vs_kp,lightgbm,0.999677350175603,0.00014705394878385166,0.9915510574390685,0.002302148295292656,0.9919264995997669,0.002167427337882763
kr_vs_kp,catboost,0.9994454743598432,0.00022006499547902063,0.9943679588475192,0.0015333289365440882,0.9946086218996077,0.001463249238567704
mushroom,xgboost,1.0,0.0,1.0,0.0,1.0,0.0
mushroom,lightgbm,1.0,9.064933036736789e-17,1.0,0.0,1.0,0.0
mushroom,catboost,1.0,6.409875621278546e-17,1.0,0.0,1.0,0.0
magic_telescope,xgboost,0.9346380073898862,0.0005251723046502198,0.8801787592008413,0.0023085697581598386,0.8196014522671652,0.0033676838951656714
magic_telescope,lightgbm,0.934897272402574,0.000711183908142221,0.8796004206098843,0.002382811607492036,0.8163592595588486,0.00344056656652248
magic_telescope,catboost,0.9396685420216576,0.0005245631703605042,0.8874342797055731,0.0019798286418257157,0.8278737423889814,0.0033045709415848177
numerai,xgboost,0.5089291412510534,0.0004309720508074085,0.5065303066695981,0.0012517706462694853,0.52557332613315,0.0019946611787369376
numerai,lightgbm,0.521582121632881,0.0012351533922655526,0.5178363756155263,0.0007919928111604718,0.5564049967090409,0.002507108163755213
numerai,catboost,0.5205877349219001,0.0036334811716695666,0.5149709672071672,0.002905671044745366,0.5439324312343717,0.003545918041153439
